Throws Averages Errors
0 0.997939 0
10000 0.995551 0.00238771
20000 0.999441 0.00412719
30000 0.998845 0.00297865
40000 0.997112 0.00288568
50000 0.996302 0.00249151
60000 0.996009 0.00212596
70000 0.996393 0.00188084
80000 0.997339 0.00190912
90000 0.99732 0.00170767
100000 0.997836 0.0016287
110000 0.998193 0.00152892
120000 0.9978 0.00146019
130000 0.997973 0.0013629
140000 0.99813 0.00127845
150000 0.998726 0.00133601
160000 0.998576 0.00126381
170000 0.998803 0.00121284
180000 0.998685 0.00115329
190000 0.998404 0.00112944
200000 0.998268 0.00108291
210000 0.998362 0.00103677
220000 0.998825 0.00109355
230000 0.998641 0.00106306
240000 0.998352 0.00105987
250000 0.998493 0.00102806
260000 0.99805 0.00108396
270000 0.997745 0.00108812
280000 0.997718 0.00105028
290000 0.997742 0.00101493
300000 0.997782 0.000982476
310000 0.998017 0.000979903
320000 0.99828 0.000985372
330000 0.998418 0.000965891
340000 0.998607 0.000956812
350000 0.998491 0.000937124
360000 0.998406 0.000915371
370000 0.998454 0.000892262
380000 0.998335 0.000877192
390000 0.998411 0.000858359
400000 0.998388 0.000837476
410000 0.998333 0.000819183
420000 0.998397 0.000802483
430000 0.998608 0.000811915
440000 0.998417 0.000816382
450000 0.998493 0.000802075
460000 0.998694 0.000810183
470000 0.998939 0.000830054
480000 0.998986 0.000814314
490000 0.998944 0.000798984
500000 0.999085 0.000795846
510000 0.999057 0.000780891
520000 0.999088 0.000766607
530000 0.99927 0.000774044
540000 0.999188 0.000764253
550000 0.999151 0.00075139
560000 0.999185 0.000738874
570000 0.999174 0.000726108
580000 0.999141 0.000714439
590000 0.999187 0.00070393
600000 0.999276 0.00069803
610000 0.999346 0.000690238
620000 0.999437 0.00068516
630000 0.999465 0.000674961
640000 0.999547 0.000669565
650000 0.999557 0.000659422
660000 0.999608 0.000651436
670000 0.999519 0.000647819
680000 0.999568 0.000640176
690000 0.999467 0.000638906
700000 0.999461 0.000629876
710000 0.99943 0.000621805
720000 0.999428 0.000613232
730000 0.999406 0.000605302
740000 0.999395 0.000597268
750000 0.999389 0.000589392
760000 0.99941 0.00058206
770000 0.999453 0.000576211
780000 0.999531 0.000574079
790000 0.999515 0.000567072
800000 0.999514 0.000560028
810000 0.999582 0.000557346
820000 0.999629 0.00055259
830000 0.999696 0.00055011
840000 0.999773 0.000549
850000 0.99982 0.000544619
860000 0.999777 0.000540038
870000 0.999754 0.000534395
880000 0.999736 0.00052864
890000 0.999798 0.000526396
900000 0.999692 0.000531306
910000 0.999681 0.000525612
920000 0.999749 0.000524367
930000 0.999736 0.000518928
940000 0.99971 0.000514077
950000 0.999614 0.000517719
960000 0.999664 0.000514811
970000 0.999654 0.000509631
980000 0.999695 0.000506138
990000 0.99971 0.000501266
