OPTION PRICING: DIRECT EVALUATION
Call err_call Put err_put 
0 19.9457 0 3.95067 0
1 18.2916 1.65405 4.9805 1.02983
2 16.6039 1.93917 5.51169 0.797295
3 16.3894 1.38787 5.07343 0.714077
4 16.0364 1.13152 5.26841 0.586479
5 16.1867 0.936022 5.31974 0.481602
6 15.9984 0.813184 5.3698 0.410095
7 16.0165 0.704471 5.40151 0.356566
8 15.7273 0.685283 5.46549 0.320904
9 15.7375 0.613019 5.50927 0.290344
10 15.5947 0.572592 5.4767 0.264637
11 15.25 0.626079 5.63154 0.286943
12 15.2871 0.577099 5.59226 0.266855
13 15.2666 0.534682 5.60468 0.247372
14 15.2622 0.497782 5.61221 0.230414
15 15.3959 0.484456 5.56204 0.221294
16 15.5058 0.468147 5.56466 0.207886
17 15.4383 0.446503 5.51749 0.201593
18 15.4571 0.422769 5.54131 0.19217
19 15.4157 0.403207 5.48222 0.191646
20 15.2691 0.410601 5.51419 0.185074
21 15.0638 0.442019 5.53608 0.177814
22 15.06 0.422382 5.48607 0.177114
23 15.1796 0.421737 5.4719 0.170165
24 15.3568 0.44159 5.47345 0.163224
25 15.2955 0.428659 5.48094 0.157
26 15.3369 0.414545 5.44163 0.156106
27 15.2926 0.401917 5.43401 0.15062
28 15.3273 0.389359 5.42408 0.145673
29 15.2814 0.37894 5.4596 0.145147
30 15.2421 0.368615 5.49487 0.144749
31 15.1837 0.361651 5.54863 0.15011
32 15.2408 0.35514 5.51857 0.148564
33 15.3284 0.355489 5.5103 0.144365
34 15.3997 0.352478 5.49811 0.140709
35 15.424 0.343404 5.53134 0.140726
36 15.4054 0.334511 5.51774 0.137544
37 15.3236 0.3357 5.5378 0.135369
38 15.2342 0.338981 5.54717 0.132185
39 15.2701 0.33234 5.5771 0.13227
40 15.2375 0.325765 5.60667 0.132347
41 15.227 0.318088 5.59783 0.12946
42 15.1962 0.312127 5.61057 0.127054
43 15.1422 0.309695 5.6061 0.124213
44 15.0861 0.307892 5.60081 0.121537
45 15.1045 0.301691 5.58118 0.120475
46 15.1189 0.295551 5.58154 0.117884
47 15.0105 0.308973 5.59214 0.115888
48 14.9786 0.304281 5.60142 0.113877
49 15.0083 0.299613 5.56701 0.11676
50 14.9654 0.296793 5.5658 0.114454
51 15.0057 0.293799 5.55497 0.112752
52 14.9669 0.290797 5.54602 0.110965
53 14.9978 0.28703 5.53193 0.1098
54 14.9588 0.284445 5.52999 0.107803
55 14.9109 0.283405 5.54243 0.106588
56 14.9053 0.278444 5.52697 0.105837
57 14.9129 0.273705 5.53696 0.104475
58 14.907 0.269091 5.54785 0.103264
59 14.9337 0.265921 5.54237 0.101677
60 14.909 0.262698 5.54835 0.100175
61 14.9132 0.258461 5.54521 0.0985957
62 14.9413 0.25588 5.54163 0.097084
63 14.94 0.251854 5.53922 0.0955855
64 15.0429 0.268457 5.5213 0.0957933
65 15.0621 0.265056 5.50241 0.0962036
66 15.0363 0.26234 5.52569 0.0975742
67 15.0306 0.258516 5.52854 0.0961709
68 15.024 0.254828 5.53849 0.0952875
69 15.0223 0.251167 5.52919 0.0943755
70 15.0133 0.247768 5.5354 0.0932436
71 15.047 0.246625 5.52084 0.0930852
72 15.0395 0.243339 5.52058 0.0918016
73 15.0299 0.240222 5.51576 0.0906811
74 15.0812 0.242492 5.50812 0.0897891
75 15.133 0.244821 5.49376 0.0897567
76 15.1443 0.241885 5.50787 0.0897004
77 15.1477 0.238787 5.51832 0.0891573
78 15.1713 0.236923 5.52736 0.0884846
79 15.1611 0.234166 5.53265 0.0875317
80 15.1563 0.231306 5.5331 0.0864454
81 15.1824 0.229949 5.53523 0.0854115
82 15.1543 0.228889 5.53667 0.0843885
83 15.1521 0.226158 5.51627 0.0858383
84 15.157 0.223534 5.52991 0.0859117
85 15.129 0.222692 5.54303 0.085915
86 15.1648 0.223022 5.52309 0.087231
87 15.1006 0.22964 5.52331 0.0862343
88 15.1227 0.228121 5.51525 0.0856401
89 15.1115 0.225854 5.51015 0.0848369
90 15.115 0.223387 5.50292 0.08421
91 15.0787 0.223906 5.51823 0.0846848
92 15.118 0.224931 5.49917 0.0859104
93 15.1211 0.222548 5.51619 0.0866801
94 15.0891 0.22251 5.54488 0.0904342
95 15.0806 0.220346 5.54653 0.0895023
96 15.0699 0.218325 5.55031 0.0886556
97 15.0932 0.217346 5.54508 0.0879023
98 15.079 0.215613 5.54463 0.087011
99 15.0817 0.213464 5.54663 0.0861599
