Averages Errors
2.7787e-23 0
2.77226e-23 6.447e-26
2.75319e-23 1.94237e-25
2.76611e-23 1.88562e-25
2.77638e-23 1.7852e-25
2.78963e-23 1.96988e-25
2.80181e-23 2.06274e-25
2.81191e-23 2.05217e-25
2.81988e-23 1.97771e-25
2.82893e-23 1.98711e-25
2.83942e-23 2.0807e-25
2.84874e-23 2.11609e-25
2.85577e-23 2.06941e-25
2.86201e-23 2.01507e-25
2.86819e-23 1.97497e-25
2.87159e-23 1.87846e-25
2.87481e-23 1.79363e-25
2.87731e-23 1.70939e-25
2.87893e-23 1.62502e-25
2.87863e-23 1.54191e-25
2.87912e-23 1.46745e-25
2.87808e-23 1.40301e-25
2.87735e-23 1.34258e-25
2.87712e-23 1.28565e-25
2.87647e-23 1.23483e-25
2.87453e-23 1.20218e-25
2.87601e-23 1.16628e-25
2.87804e-23 1.14202e-25
2.87845e-23 1.10269e-25
2.87927e-23 1.06846e-25
2.88058e-23 1.04168e-25
2.88101e-23 1.00953e-25
2.88313e-23 1.00113e-25
2.88369e-23 9.72863e-26
2.88379e-23 9.44711e-26
2.88493e-23 9.25097e-26
2.8867e-23 9.17047e-26
2.88788e-23 9.00362e-26
2.88571e-23 9.03439e-26
2.88678e-23 8.87083e-26
2.88754e-23 8.68483e-26
2.88824e-23 8.5046e-26
2.88841e-23 8.30609e-26
2.88835e-23 8.11535e-26
2.88888e-23 7.95101e-26
2.88878e-23 7.77697e-26
2.88912e-23 7.61732e-26
2.88855e-23 7.47868e-26
2.88898e-23 7.33697e-26
2.8889e-23 7.18909e-26
2.88828e-23 7.07431e-26
2.88754e-23 6.9762e-26
2.88661e-23 6.90607e-26
2.88629e-23 6.78457e-26
2.88623e-23 6.6604e-26
2.88577e-23 6.55595e-26
2.88534e-23 6.45438e-26
2.8853e-23 6.34224e-26
2.88498e-23 6.24218e-26
2.88473e-23 6.14245e-26
2.88498e-23 6.04628e-26
2.88521e-23 5.95246e-26
2.88535e-23 5.85886e-26
2.88514e-23 5.77061e-26
2.88553e-23 5.69496e-26
2.88488e-23 5.64566e-26
2.88451e-23 5.57292e-26
2.88496e-23 5.50865e-26
2.88468e-23 5.43557e-26
2.88397e-23 5.40461e-26
2.88347e-23 5.35076e-26
2.88324e-23 5.28119e-26
2.88293e-23 5.21719e-26
2.88222e-23 5.19506e-26
2.88113e-23 5.24156e-26
2.88064e-23 5.19444e-26
2.8798e-23 5.19579e-26
2.87856e-23 5.27589e-26
2.87769e-23 5.28137e-26
2.87632e-23 5.3912e-26
2.8746e-23 5.59417e-26
2.87291e-23 5.77847e-26
2.87134e-23 5.92087e-26
2.87004e-23 5.99209e-26
2.86879e-23 6.05301e-26
2.86773e-23 6.07586e-26
2.86665e-23 6.10034e-26
2.86556e-23 6.13002e-26
2.86487e-23 6.09933e-26
2.86452e-23 6.04121e-26
2.8642e-23 5.98291e-26
2.86387e-23 5.92715e-26
2.86339e-23 5.88204e-26
2.86337e-23 5.81918e-26
2.86354e-23 5.76015e-26
2.86306e-23 5.72033e-26
2.86315e-23 5.66179e-26
2.86316e-23 5.60374e-26
2.86336e-23 5.55023e-26
2.8635e-23 5.49637e-26
