Averages Errors
-4.79436e-24 0
-4.72551e-24 6.88519e-26
-4.53733e-24 1.9233e-25
-4.66683e-24 1.87794e-25
-4.77004e-24 1.78358e-25
-4.90269e-24 1.96988e-25
-5.02437e-24 2.06207e-25
-5.12517e-24 2.05067e-25
-5.20486e-24 1.9763e-25
-5.29568e-24 1.98732e-25
-5.40057e-24 2.08126e-25
-5.49366e-24 2.11571e-25
-5.56364e-24 2.06816e-25
-5.62617e-24 2.01428e-25
-5.68778e-24 1.97381e-25
-5.72161e-24 1.87706e-25
-5.75382e-24 1.79237e-25
-5.77885e-24 1.7083e-25
-5.79472e-24 1.62366e-25
-5.79185e-24 1.54061e-25
-5.79667e-24 1.4662e-25
-5.78601e-24 1.40202e-25
-5.77892e-24 1.34156e-25
-5.77649e-24 1.28467e-25
-5.76975e-24 1.23406e-25
-5.75052e-24 1.20113e-25
-5.7655e-24 1.16545e-25
-5.78563e-24 1.14095e-25
-5.78952e-24 1.10159e-25
-5.79788e-24 1.06752e-25
-5.81082e-24 1.04059e-25
-5.81518e-24 1.00849e-25
-5.83643e-24 1.00028e-25
-5.84177e-24 9.71884e-26
-5.84289e-24 9.43773e-26
-5.85435e-24 9.24317e-26
-5.87209e-24 9.16328e-26
-5.88372e-24 8.99433e-26
-5.86199e-24 9.02616e-26
-5.87292e-24 8.86526e-26
-5.88045e-24 8.67911e-26
-5.88744e-24 8.49874e-26
-5.88912e-24 8.30044e-26
-5.88853e-24 8.10982e-26
-5.89397e-24 7.94621e-26
-5.89294e-24 7.77222e-26
-5.89622e-24 7.61213e-26
-5.89066e-24 7.47259e-26
-5.89498e-24 7.3312e-26
-5.89417e-24 7.18353e-26
-5.88797e-24 7.0685e-26
-5.88051e-24 6.97127e-26
-5.8713e-24 6.9002e-26
-5.86813e-24 6.77863e-26
-5.86744e-24 6.6546e-26
-5.86291e-24 6.55035e-26
-5.85859e-24 6.44887e-26
-5.85821e-24 6.33682e-26
-5.85493e-24 6.23713e-26
-5.85241e-24 6.1375e-26
-5.85499e-24 6.04158e-26
-5.85727e-24 5.94769e-26
-5.85865e-24 5.85415e-26
-5.85642e-24 5.76626e-26
-5.86045e-24 5.69113e-26
-5.8538e-24 5.64355e-26
-5.85023e-24 5.57012e-26
-5.85467e-24 5.50558e-26
-5.85175e-24 5.43309e-26
-5.84459e-24 5.40248e-26
-5.83967e-24 5.34856e-26
-5.8373e-24 5.27909e-26
-5.83422e-24 5.21537e-26
-5.82702e-24 5.19446e-26
-5.81607e-24 5.24044e-26
-5.81126e-24 5.19339e-26
-5.80271e-24 5.19624e-26
-5.79034e-24 5.27633e-26
-5.78159e-24 5.28215e-26
-5.76779e-24 5.39502e-26
-5.75063e-24 5.59764e-26
-5.73365e-24 5.78385e-26
-5.71796e-24 5.92505e-26
-5.70492e-24 5.99756e-26
-5.69238e-24 6.05794e-26
-5.68172e-24 6.08118e-26
-5.67099e-24 6.10585e-26
-5.65998e-24 6.13571e-26
-5.65317e-24 6.10454e-26
-5.64967e-24 6.04643e-26
-5.64647e-24 5.98816e-26
-5.64306e-24 5.93253e-26
-5.63834e-24 5.88738e-26
-5.63813e-24 5.82445e-26
-5.63978e-24 5.76518e-26
-5.63492e-24 5.72546e-26
-5.63583e-24 5.66686e-26
-5.63599e-24 5.60876e-26
-5.63791e-24 5.55513e-26
-5.63934e-24 5.50117e-26
