Averages Errors
2.29927e-23 0
2.29971e-23 4.38182e-27
2.29946e-23 3.52851e-27
2.29943e-23 2.51392e-27
2.29937e-23 2.02647e-27
2.29936e-23 1.66108e-27
2.29937e-23 1.40855e-27
2.29939e-23 1.23634e-27
2.2994e-23 1.09155e-27
2.29937e-23 1.01955e-27
2.29936e-23 9.25578e-28
2.29938e-23 8.66233e-28
2.29941e-23 8.42615e-28
2.2994e-23 7.86742e-28
2.29941e-23 7.47264e-28
2.29943e-23 7.22055e-28
2.29943e-23 6.78437e-28
2.29942e-23 6.42498e-28
2.29945e-23 6.97502e-28
2.29945e-23 6.63593e-28
2.29945e-23 6.3157e-28
2.29948e-23 6.58986e-28
2.29946e-23 6.52439e-28
2.29947e-23 6.26968e-28
2.2995e-23 6.69027e-28
2.29948e-23 6.7241e-28
2.29946e-23 6.60842e-28
2.29948e-23 6.55962e-28
2.2995e-23 6.58829e-28
2.29948e-23 6.52672e-28
2.2995e-23 6.49041e-28
2.29949e-23 6.3028e-28
2.29949e-23 6.14322e-28
2.29951e-23 6.60031e-28
2.2995e-23 6.52149e-28
2.29949e-23 6.41727e-28
2.29949e-23 6.24278e-28
2.29951e-23 6.33954e-28
2.29951e-23 6.17918e-28
2.29949e-23 6.33254e-28
2.2995e-23 6.18611e-28
2.2995e-23 6.04815e-28
2.2995e-23 5.9161e-28
2.29949e-23 5.78093e-28
2.29949e-23 5.71791e-28
2.29948e-23 5.60505e-28
2.29949e-23 5.62265e-28
2.29948e-23 5.67379e-28
2.29948e-23 5.56576e-28
2.29949e-23 5.52809e-28
2.29948e-23 5.43575e-28
2.29949e-23 5.37578e-28
2.29948e-23 5.33602e-28
2.29948e-23 5.25078e-28
2.29948e-23 5.16925e-28
2.29948e-23 5.07729e-28
2.29948e-23 4.98746e-28
2.29948e-23 4.90345e-28
2.29949e-23 4.84659e-28
2.29949e-23 4.76522e-28
2.29948e-23 4.70347e-28
2.29949e-23 4.64597e-28
2.29949e-23 4.57231e-28
2.29949e-23 4.56723e-28
2.29949e-23 4.53761e-28
2.2995e-23 4.68688e-28
2.29949e-23 4.75387e-28
2.2995e-23 4.69952e-28
2.29951e-23 4.74384e-28
2.29951e-23 4.68069e-28
2.29951e-23 4.61578e-28
2.29951e-23 4.55363e-28
2.29951e-23 4.51194e-28
2.29952e-23 4.53135e-28
2.29952e-23 4.47787e-28
2.29952e-23 4.41882e-28
2.29953e-23 4.45253e-28
2.29953e-23 4.39508e-28
2.29953e-23 4.34416e-28
2.29954e-23 4.45678e-28
2.29954e-23 4.40158e-28
2.29955e-23 4.40609e-28
2.29955e-23 4.36742e-28
2.29955e-23 4.36614e-28
2.29955e-23 4.31792e-28
2.29955e-23 4.27775e-28
2.29956e-23 4.23268e-28
2.29956e-23 4.18845e-28
2.29955e-23 4.15515e-28
2.29955e-23 4.1105e-28
2.29956e-23 4.0691e-28
2.29956e-23 4.04078e-28
2.29956e-23 3.9972e-28
2.29956e-23 3.96838e-28
2.29956e-23 3.96992e-28
2.29957e-23 3.93293e-28
2.29956e-23 3.8923e-28
2.29957e-23 3.8538e-28
2.29957e-23 3.81982e-28
2.29957e-23 3.78539e-28
