Averages Errors
2.53729e-21 0
2.53258e-21 1.85245e-25
2.51713e-21 6.1669e-25
2.52863e-21 6.2811e-25
2.53766e-21 6.02151e-25
2.54918e-21 6.68556e-25
2.55992e-21 7.05141e-25
2.56908e-21 7.09044e-25
2.57659e-21 6.91456e-25
2.58504e-21 7.02021e-25
2.59467e-21 7.39224e-25
2.60331e-21 7.55324e-25
2.60998e-21 7.42708e-25
2.61596e-21 7.26691e-25
2.62183e-21 7.14763e-25
2.62526e-21 6.82033e-25
2.62839e-21 6.52383e-25
2.63074e-21 6.21921e-25
2.6322e-21 5.91071e-25
2.63193e-21 5.60838e-25
2.63225e-21 5.33615e-25
2.63126e-21 5.10258e-25
2.63056e-21 4.8836e-25
2.63032e-21 4.67664e-25
2.62983e-21 4.48981e-25
2.62828e-21 4.35629e-25
2.62963e-21 4.22535e-25
2.63147e-21 4.13494e-25
2.63198e-21 3.99491e-25
2.63288e-21 3.87547e-25
2.63419e-21 3.78388e-25
2.63473e-21 3.66991e-25
2.63666e-21 3.6363e-25
2.63722e-21 3.53458e-25
2.63734e-21 3.43244e-25
2.63829e-21 3.35675e-25
2.63978e-21 3.31692e-25
2.64083e-21 3.25477e-25
2.63909e-21 3.24307e-25
2.64011e-21 3.18608e-25
2.64083e-21 3.12033e-25
2.64151e-21 3.05672e-25
2.64174e-21 2.98616e-25
2.64178e-21 2.91755e-25
2.64232e-21 2.85973e-25
2.64228e-21 2.79689e-25
2.64262e-21 2.73987e-25
2.64215e-21 2.68836e-25
2.64253e-21 2.63711e-25
2.6425e-21 2.58387e-25
2.64199e-21 2.54044e-25
2.64138e-21 2.50272e-25
2.64058e-21 2.47516e-25
2.64026e-21 2.43208e-25
2.64014e-21 2.3879e-25
2.6397e-21 2.35128e-25
2.63929e-21 2.31543e-25
2.63921e-21 2.27534e-25
2.63891e-21 2.23954e-25
2.63868e-21 2.20375e-25
2.63888e-21 2.16873e-25
2.63906e-21 2.1346e-25
2.63917e-21 2.10086e-25
2.63899e-21 2.06897e-25
2.63934e-21 2.04172e-25
2.63882e-21 2.02112e-25
2.63851e-21 1.99433e-25
2.63888e-21 1.97011e-25
2.63863e-21 1.94394e-25
2.638e-21 1.93186e-25
2.63753e-21 1.91345e-25
2.63725e-21 1.88992e-25
2.6369e-21 1.86875e-25
2.63623e-21 1.86215e-25
2.63524e-21 1.87797e-25
2.63476e-21 1.86251e-25
2.63397e-21 1.86436e-25
2.63284e-21 1.89339e-25
2.63201e-21 1.89743e-25
2.63077e-21 1.93613e-25
2.62923e-21 2.00463e-25
2.62772e-21 2.06716e-25
2.6263e-21 2.11715e-25
2.6251e-21 2.14423e-25
2.62393e-21 2.16814e-25
2.62293e-21 2.17855e-25
2.62194e-21 2.18846e-25
2.62094e-21 2.199e-25
2.6203e-21 2.18864e-25
2.61996e-21 2.16838e-25
2.61965e-21 2.14768e-25
2.61936e-21 2.12747e-25
2.61895e-21 2.11047e-25
2.61893e-21 2.08791e-25
2.61908e-21 2.06671e-25
2.61869e-21 2.05095e-25
2.61878e-21 2.03e-25
2.61879e-21 2.00918e-25
2.61895e-21 1.9897e-25
2.61905e-21 1.97017e-25
