Averages Errors
144.908 0
144.572 0.336207
143.577 1.01294
144.251 0.983338
144.786 0.930974
145.477 1.02728
146.113 1.07571
146.639 1.07019
147.055 1.03137
147.527 1.03627
148.074 1.08507
148.56 1.10353
148.927 1.07919
149.252 1.05085
149.574 1.02994
149.752 0.979605
149.92 0.935369
150.05 0.891434
150.134 0.847439
150.119 0.804096
150.144 0.765264
150.09 0.731659
150.052 0.70015
150.04 0.670456
150.006 0.643959
149.905 0.626932
149.982 0.60821
150.088 0.595557
150.109 0.575047
150.152 0.557196
150.221 0.543232
150.243 0.526463
150.354 0.522083
150.383 0.507342
150.388 0.492661
150.447 0.482433
150.54 0.478234
150.601 0.469533
150.488 0.471138
150.544 0.462608
150.584 0.452909
150.62 0.44351
150.629 0.433158
150.626 0.423211
150.654 0.41464
150.648 0.405564
150.666 0.397239
150.636 0.390009
150.658 0.382619
150.655 0.374907
150.622 0.368921
150.584 0.363805
150.535 0.360148
150.518 0.353811
150.515 0.347336
150.491 0.341889
150.469 0.336592
150.467 0.330744
150.45 0.325526
150.437 0.320325
150.45 0.31531
150.462 0.310417
150.469 0.305536
150.458 0.300934
150.479 0.296989
150.445 0.294418
150.426 0.290625
150.449 0.287273
150.434 0.283462
150.397 0.281847
150.371 0.279039
150.359 0.275411
150.343 0.272073
150.306 0.270919
150.249 0.273344
150.224 0.270887
150.18 0.270957
150.115 0.275135
150.07 0.27542
149.998 0.281148
149.909 0.291733
149.821 0.301344
149.739 0.30877
149.671 0.312484
149.606 0.315661
149.55 0.316852
149.494 0.318129
149.437 0.319677
149.401 0.318076
149.383 0.315046
149.367 0.312005
149.349 0.309097
149.324 0.306745
149.323 0.303467
149.332 0.300388
149.307 0.298312
149.311 0.295259
149.312 0.292232
149.322 0.289441
149.33 0.286632
