Averages Errors
2.48578e-23 0
2.3651e-23 1.20686e-24
2.37352e-23 7.01851e-25
2.35039e-23 5.47531e-25
2.37674e-23 4.99308e-25
2.37768e-23 4.07793e-25
2.379e-23 3.44897e-25
2.38963e-23 3.17045e-25
2.38811e-23 2.80019e-25
2.3902e-23 2.51325e-25
2.39734e-23 2.38303e-25
2.39177e-23 2.24573e-25
2.37158e-23 2.88849e-25
2.36864e-23 2.69033e-25
2.37258e-23 2.53538e-25
2.37267e-23 2.37165e-25
2.3703e-23 2.24034e-25
2.36515e-23 2.17411e-25
2.36301e-23 2.06761e-25
2.36355e-23 1.96225e-25
2.35853e-23 1.93273e-25
2.35543e-23 1.86862e-25
2.34641e-23 2.00027e-25
2.33736e-23 2.1184e-25
2.34065e-23 2.05841e-25
2.34283e-23 1.98957e-25
2.3436e-23 1.91604e-25
2.34104e-23 1.86405e-25
2.34414e-23 1.82516e-25
2.34707e-23 1.78738e-25
2.34153e-23 1.81526e-25
2.34213e-23 1.75863e-25
2.342e-23 1.70455e-25
2.34153e-23 1.65432e-25
2.34215e-23 1.60753e-25
2.33991e-23 1.57816e-25
2.3438e-23 1.58328e-25
2.34531e-23 1.54846e-25
2.34635e-23 1.51182e-25
2.35209e-23 1.58154e-25
2.35497e-23 1.56909e-25
2.35921e-23 1.5889e-25
2.35874e-23 1.55223e-25
2.35713e-23 1.52503e-25
2.36105e-23 1.54135e-25
2.36441e-23 1.54457e-25
2.36396e-23 1.51204e-25
2.36071e-23 1.51549e-25
2.36025e-23 1.48494e-25
2.35925e-23 1.45839e-25
2.35743e-23 1.44099e-25
2.3558e-23 1.42242e-25
2.35527e-23 1.3963e-25
2.35496e-23 1.37056e-25
2.35723e-23 1.36441e-25
2.3574e-23 1.33992e-25
2.35646e-23 1.31956e-25
2.35512e-23 1.30346e-25
2.35546e-23 1.28161e-25
2.35689e-23 1.26818e-25
2.3599e-23 1.283e-25
2.35636e-23 1.31091e-25
2.35517e-23 1.29538e-25
2.35628e-23 1.2798e-25
2.35738e-23 1.26476e-25
2.35447e-23 1.27894e-25
2.35481e-23 1.26015e-25
2.35538e-23 1.24278e-25
2.35629e-23 1.22806e-25
2.35585e-23 1.21119e-25
2.35416e-23 1.20589e-25
2.35396e-23 1.18919e-25
2.3544e-23 1.1736e-25
2.35494e-23 1.1589e-25
2.35532e-23 1.14397e-25
2.35486e-23 1.12976e-25
2.35486e-23 1.11499e-25
2.35553e-23 1.10266e-25
2.35485e-23 1.09078e-25
2.35396e-23 1.08067e-25
2.35303e-23 1.07134e-25
2.35259e-23 1.05908e-25
2.35125e-23 1.05486e-25
2.34982e-23 1.052e-25
2.34979e-23 1.03955e-25
2.35012e-23 1.0279e-25
2.35223e-23 1.03767e-25
2.35294e-23 1.0283e-25
2.35184e-23 1.02264e-25
2.35112e-23 1.01378e-25
2.35011e-23 1.00759e-25
2.35009e-23 9.96583e-26
2.35098e-23 9.89795e-26
2.35201e-23 9.8465e-26
2.35153e-23 9.75448e-26
2.35284e-23 9.7419e-26
2.3527e-23 9.64196e-26
2.35331e-23 9.56251e-26
2.35242e-23 9.50801e-26
2.35214e-23 9.41645e-26
