Averages Errors
-7.92857e-23 0
-7.80892e-23 1.19644e-24
-7.8176e-23 6.96198e-25
-7.79496e-23 5.41869e-25
-7.82135e-23 4.95785e-25
-7.82205e-23 4.04868e-25
-7.82353e-23 3.42496e-25
-7.83445e-23 3.16096e-25
-7.83277e-23 2.79276e-25
-7.83503e-23 2.50811e-25
-7.84205e-23 2.37479e-25
-7.83638e-23 2.24095e-25
-7.81608e-23 2.89308e-25
-7.81302e-23 2.69587e-25
-7.81655e-23 2.53448e-25
-7.81637e-23 2.37086e-25
-7.81429e-23 2.2367e-25
-7.80942e-23 2.16426e-25
-7.80765e-23 2.0548e-25
-7.80816e-23 1.95001e-25
-7.80301e-23 1.92484e-25
-7.79989e-23 1.86166e-25
-7.79079e-23 1.99835e-25
-7.78182e-23 2.11287e-25
-7.785e-23 2.05138e-25
-7.78706e-23 1.98159e-25
-7.78771e-23 1.90793e-25
-7.78519e-23 1.85584e-25
-7.78848e-23 1.82074e-25
-7.79146e-23 1.78411e-25
-7.78598e-23 1.81059e-25
-7.78667e-23 1.75445e-25
-7.78639e-23 1.70069e-25
-7.78584e-23 1.65083e-25
-7.7864e-23 1.60395e-25
-7.78411e-23 1.57543e-25
-7.78796e-23 1.57986e-25
-7.78949e-23 1.54533e-25
-7.79067e-23 1.50977e-25
-7.79654e-23 1.58439e-25
-7.79944e-23 1.57218e-25
-7.80378e-23 1.59469e-25
-7.8034e-23 1.55764e-25
-7.80192e-23 1.52901e-25
-7.80589e-23 1.54665e-25
-7.80919e-23 1.5481e-25
-7.80867e-23 1.5157e-25
-7.8054e-23 1.51929e-25
-7.80495e-23 1.48865e-25
-7.80394e-23 1.46207e-25
-7.80206e-23 1.44536e-25
-7.80045e-23 1.42644e-25
-7.79994e-23 1.40019e-25
-7.7997e-23 1.37423e-25
-7.80199e-23 1.36825e-25
-7.80223e-23 1.34382e-25
-7.80132e-23 1.3232e-25
-7.80007e-23 1.30614e-25
-7.80045e-23 1.28436e-25
-7.80189e-23 1.27101e-25
-7.8048e-23 1.28338e-25
-7.80129e-23 1.31052e-25
-7.80013e-23 1.29475e-25
-7.80136e-23 1.28027e-25
-7.80243e-23 1.26499e-25
-7.79954e-23 1.27884e-25
-7.79991e-23 1.26017e-25
-7.80044e-23 1.24262e-25
-7.8014e-23 1.22819e-25
-7.80093e-23 1.21142e-25
-7.79924e-23 1.20613e-25
-7.79908e-23 1.18937e-25
-7.7995e-23 1.17371e-25
-7.80003e-23 1.15899e-25
-7.80043e-23 1.14413e-25
-7.79999e-23 1.12982e-25
-7.79994e-23 1.11507e-25
-7.80056e-23 1.10244e-25
-7.79978e-23 1.09122e-25
-7.79877e-23 1.0822e-25
-7.79777e-23 1.07338e-25
-7.79729e-23 1.06133e-25
-7.79589e-23 1.05769e-25
-7.79446e-23 1.05476e-25
-7.79438e-23 1.04231e-25
-7.79468e-23 1.03055e-25
-7.79673e-23 1.03901e-25
-7.79738e-23 1.02917e-25
-7.79625e-23 1.02379e-25
-7.79555e-23 1.01472e-25
-7.79459e-23 1.00815e-25
-7.79459e-23 9.97133e-26
-7.79543e-23 9.89953e-26
-7.79647e-23 9.84827e-26
-7.79596e-23 9.75759e-26
-7.79732e-23 9.75067e-26
-7.79723e-23 9.64998e-26
-7.79788e-23 9.57277e-26
-7.79702e-23 9.51434e-26
-7.79679e-23 9.42163e-26
