Averages Errors
-5.44278e-23 0
-5.44382e-23 1.04241e-26
-5.44409e-23 6.56112e-27
-5.44457e-23 6.70641e-27
-5.44461e-23 5.20806e-27
-5.44436e-23 4.90361e-27
-5.44453e-23 4.47294e-27
-5.44483e-23 4.87225e-27
-5.44467e-23 4.59244e-27
-5.44484e-23 4.45173e-27
-5.44471e-23 4.22472e-27
-5.44461e-23 3.98439e-27
-5.4445e-23 3.82769e-27
-5.44438e-23 3.73286e-27
-5.44397e-23 5.35105e-27
-5.4437e-23 5.69704e-27
-5.444e-23 6.10041e-27
-5.44428e-23 6.40546e-27
-5.44465e-23 7.11022e-27
-5.44461e-23 6.75492e-27
-5.44449e-23 6.54896e-27
-5.44446e-23 6.25028e-27
-5.44437e-23 6.03762e-27
-5.44446e-23 5.85153e-27
-5.44435e-23 5.72684e-27
-5.44423e-23 5.62937e-27
-5.44411e-23 5.5417e-27
-5.44415e-23 5.35094e-27
-5.44434e-23 5.51108e-27
-5.4444e-23 5.35486e-27
-5.44445e-23 5.20795e-27
-5.44454e-23 5.126e-27
-5.44438e-23 5.21223e-27
-5.4443e-23 5.12382e-27
-5.44425e-23 5.00333e-27
-5.4442e-23 4.88755e-27
-5.44416e-23 4.76596e-27
-5.44418e-23 4.64248e-27
-5.44432e-23 4.71745e-27
-5.44445e-23 4.77369e-27
-5.44447e-23 4.65984e-27
-5.44457e-23 4.67159e-27
-5.44466e-23 4.64068e-27
-5.44478e-23 4.70834e-27
-5.44484e-23 4.64183e-27
-5.44477e-23 4.59529e-27
-5.44471e-23 4.54306e-27
-5.44469e-23 4.44961e-27
-5.4447e-23 4.35799e-27
-5.44469e-23 4.27073e-27
-5.44463e-23 4.23147e-27
-5.44465e-23 4.15432e-27
-5.44466e-23 4.07784e-27
-5.44474e-23 4.06963e-27
-5.44476e-23 3.99887e-27
-5.44483e-23 4.00656e-27
-5.44486e-23 3.94364e-27
-5.44495e-23 3.9754e-27
-5.44499e-23 3.93101e-27
-5.445e-23 3.86685e-27
-5.4449e-23 3.93519e-27
-5.44493e-23 3.8811e-27
-5.44496e-23 3.82908e-27
-5.44508e-23 3.95269e-27
-5.44505e-23 3.9002e-27
-5.44507e-23 3.8433e-27
-5.44511e-23 3.80853e-27
-5.44507e-23 3.77486e-27
-5.4451e-23 3.73967e-27
-5.44508e-23 3.69566e-27
-5.44508e-23 3.64326e-27
-5.44512e-23 3.61332e-27
-5.44509e-23 3.56938e-27
-5.44509e-23 3.52099e-27
-5.44511e-23 3.47924e-27
-5.44513e-23 3.44011e-27
-5.44508e-23 3.43734e-27
-5.44503e-23 3.42886e-27
-5.44493e-23 3.52085e-27
-5.44481e-23 3.69633e-27
-5.44475e-23 3.69909e-27
-5.44469e-23 3.6938e-27
-5.44464e-23 3.68067e-27
-5.44465e-23 3.63659e-27
-5.44459e-23 3.63504e-27
-5.44457e-23 3.60052e-27
-5.44451e-23 3.61139e-27
-5.44444e-23 3.63644e-27
-5.44441e-23 3.6056e-27
-5.44444e-23 3.57611e-27
-5.44447e-23 3.55592e-27
-5.4445e-23 3.52492e-27
-5.44445e-23 3.51448e-27
-5.44446e-23 3.47695e-27
-5.44443e-23 3.45028e-27
-5.44447e-23 3.43957e-27
-5.44453e-23 3.45246e-27
-5.44456e-23 3.43565e-27
-5.4446e-23 3.42528e-27
-5.44465e-23 3.41464e-27
