Averages Errors
3.66734e-20 0
3.50467e-20 6.39355e-23
3.51681e-20 3.72201e-23
3.48465e-20 2.91974e-23
3.52018e-20 2.65814e-23
3.52174e-20 2.17123e-23
3.52347e-20 1.83629e-23
3.53734e-20 1.68102e-23
3.53454e-20 1.48658e-23
3.53674e-20 1.33244e-23
3.54599e-20 1.2589e-23
3.53842e-20 1.18705e-23
3.51127e-20 1.52676e-23
3.50736e-20 1.42187e-23
3.51281e-20 1.34092e-23
3.51313e-20 1.25438e-23
3.50971e-20 1.18592e-23
3.50231e-20 1.15532e-23
3.49907e-20 1.1002e-23
3.49961e-20 1.04395e-23
3.49262e-20 1.03032e-23
3.4883e-20 9.96939e-24
3.47603e-20 1.06765e-23
3.46363e-20 1.13244e-23
3.46791e-20 1.09914e-23
3.47072e-20 1.06176e-23
3.47175e-20 1.02248e-23
3.46836e-20 9.94217e-24
3.47264e-20 9.73901e-24
3.47667e-20 9.54117e-24
3.4693e-20 9.67121e-24
3.47035e-20 9.37307e-24
3.47039e-20 9.08462e-24
3.46994e-20 8.81516e-24
3.47102e-20 8.57014e-24
3.46825e-20 8.39988e-24
3.47372e-20 8.44813e-24
3.47578e-20 8.26239e-24
3.47704e-20 8.06297e-24
3.48473e-20 8.42012e-24
3.4886e-20 8.35247e-24
3.4944e-20 8.4632e-24
3.49383e-20 8.26704e-24
3.49174e-20 8.11867e-24
3.49706e-20 8.20744e-24
3.50162e-20 8.22423e-24
3.50104e-20 8.05054e-24
3.49667e-20 8.06608e-24
3.49608e-20 7.90318e-24
3.49469e-20 7.76262e-24
3.49224e-20 7.66978e-24
3.49004e-20 7.57019e-24
3.48937e-20 7.43069e-24
3.48899e-20 7.29329e-24
3.49214e-20 7.26537e-24
3.49238e-20 7.1351e-24
3.49108e-20 7.02738e-24
3.48919e-20 6.94523e-24
3.48954e-20 6.82791e-24
3.49139e-20 6.75247e-24
3.49545e-20 6.82954e-24
3.49064e-20 6.97889e-24
3.48902e-20 6.89664e-24
3.4905e-20 6.81281e-24
3.49203e-20 6.73412e-24
3.48815e-20 6.80436e-24
3.48863e-20 6.70468e-24
3.48943e-20 6.61272e-24
3.49069e-20 6.53508e-24
3.49012e-20 6.44489e-24
3.48789e-20 6.41364e-24
3.48767e-20 6.32456e-24
3.48829e-20 6.24212e-24
3.48906e-20 6.16467e-24
3.48964e-20 6.08611e-24
3.4891e-20 6.00924e-24
3.48919e-20 5.93079e-24
3.49021e-20 5.86813e-24
3.48941e-20 5.80198e-24
3.48835e-20 5.74417e-24
3.48718e-20 5.69146e-24
3.48668e-20 5.62508e-24
3.48494e-20 5.5986e-24
3.48305e-20 5.58118e-24
3.48308e-20 5.51514e-24
3.48361e-20 5.4547e-24
3.48661e-20 5.5185e-24
3.48769e-20 5.47187e-24
3.48626e-20 5.4391e-24
3.48535e-20 5.39005e-24
3.48406e-20 5.3547e-24
3.48406e-20 5.29618e-24
3.48526e-20 5.26027e-24
3.48666e-20 5.23308e-24
3.48602e-20 5.18395e-24
3.4878e-20 5.17723e-24
3.48753e-20 5.12465e-24
3.4883e-20 5.08109e-24
3.48708e-20 5.05215e-24
3.4868e-20 5.00263e-24
