Averages Errors
129.632 0
123.338 6.29372
123.778 3.66011
122.571 2.85534
123.946 2.60386
123.995 2.12661
124.063 1.79862
124.618 1.65337
124.539 1.46028
124.647 1.31065
125.02 1.24274
124.729 1.17113
123.676 1.50633
123.523 1.40299
123.729 1.32219
123.733 1.2368
123.61 1.16833
123.341 1.13379
123.229 1.07825
123.257 1.0233
122.996 1.00791
122.834 0.974475
122.364 1.04313
121.892 1.10473
122.064 1.07345
122.177 1.03755
122.218 0.999204
122.084 0.97209
122.246 0.951812
122.398 0.932106
122.109 0.946648
122.14 0.917115
122.134 0.888913
122.11 0.862719
122.142 0.838319
122.025 0.823003
122.228 0.82567
122.306 0.807514
122.361 0.788405
122.66 0.824764
122.81 0.818273
123.031 0.828604
123.007 0.809477
122.923 0.795295
123.127 0.803807
123.303 0.805484
123.279 0.78852
123.109 0.790319
123.086 0.774389
123.033 0.760542
122.939 0.751467
122.853 0.741782
122.826 0.728164
122.81 0.714737
122.928 0.71153
122.937 0.698763
122.888 0.688144
122.818 0.679744
122.836 0.66835
122.91 0.661349
123.067 0.669078
122.883 0.683633
122.821 0.675532
122.879 0.667408
122.936 0.659564
122.784 0.666959
122.802 0.657159
122.831 0.648104
122.879 0.640426
122.856 0.631626
122.768 0.628864
122.758 0.620156
122.781 0.612026
122.809 0.604361
122.829 0.596576
122.805 0.589164
122.805 0.581462
122.84 0.57503
122.804 0.568833
122.758 0.563562
122.709 0.558697
122.686 0.552304
122.616 0.550102
122.542 0.54861
122.54 0.542119
122.557 0.536043
122.667 0.541139
122.704 0.536254
122.647 0.533302
122.609 0.528683
122.557 0.525454
122.556 0.519712
122.602 0.516172
122.656 0.513489
122.631 0.50869
122.699 0.508034
122.692 0.502822
122.724 0.498679
122.677 0.495837
122.663 0.491062
