Averages Errors
1.6864e-23 0
1.72198e-23 3.55775e-25
1.74628e-23 3.18167e-25
1.757e-23 2.49231e-25
1.74662e-23 2.19177e-25
1.73838e-23 1.97041e-25
1.7613e-23 2.83308e-25
1.75065e-23 2.67449e-25
1.73274e-23 2.96153e-25
1.736e-23 2.66878e-25
1.75261e-23 2.93032e-25
1.75078e-23 2.68127e-25
1.7431e-23 2.5831e-25
1.7522e-23 2.55863e-25
1.74677e-23 2.44299e-25
1.74578e-23 2.28736e-25
1.75089e-23 2.2087e-25
1.74933e-23 2.08827e-25
1.74802e-23 1.97961e-25
1.75223e-23 1.92452e-25
1.75104e-23 1.8344e-25
1.75049e-23 1.74989e-25
1.7508e-23 1.67235e-25
1.74977e-23 1.60446e-25
1.74861e-23 1.54331e-25
1.74983e-23 1.48777e-25
1.75347e-23 1.47717e-25
1.74893e-23 1.49391e-25
1.74773e-23 1.44648e-25
1.75077e-23 1.43018e-25
1.75325e-23 1.40537e-25
1.75104e-23 1.37861e-25
1.7462e-23 1.42107e-25
1.74803e-23 1.39067e-25
1.74662e-23 1.35771e-25
1.7462e-23 1.32013e-25
1.74798e-23 1.29626e-25
1.75045e-23 1.28574e-25
1.75277e-23 1.27367e-25
1.74823e-23 1.32184e-25
1.74483e-23 1.3333e-25
1.74649e-23 1.31171e-25
1.74881e-23 1.30167e-25
1.74741e-23 1.27948e-25
1.74735e-23 1.25073e-25
1.74764e-23 1.22358e-25
1.74613e-23 1.20683e-25
1.74449e-23 1.19263e-25
1.74391e-23 1.16948e-25
1.74573e-23 1.16025e-25
1.74535e-23 1.13791e-25
1.74867e-23 1.16412e-25
1.74573e-23 1.17929e-25
1.74379e-23 1.17332e-25
1.74442e-23 1.15348e-25
1.74474e-23 1.13315e-25
1.74647e-23 1.12648e-25
1.74731e-23 1.1101e-25
1.74749e-23 1.09126e-25
1.74511e-23 1.09898e-25
1.74522e-23 1.08087e-25
1.74582e-23 1.06498e-25
1.74797e-23 1.06981e-25
1.74636e-23 1.06521e-25
1.74538e-23 1.0533e-25
1.74543e-23 1.03723e-25
1.74726e-23 1.03799e-25
1.7452e-23 1.04321e-25
1.74514e-23 1.02799e-25
1.74683e-23 1.02719e-25
1.74571e-23 1.01886e-25
1.74769e-23 1.02398e-25
1.74592e-23 1.02524e-25
1.74616e-23 1.01158e-25
1.74623e-23 9.9803e-26
1.74598e-23 9.85147e-26
1.74676e-23 9.7541e-26
1.74734e-23 9.64596e-26
1.74852e-23 9.59507e-26
1.74837e-23 9.47548e-26
1.74681e-23 9.48618e-26
1.74542e-23 9.47289e-26
1.74689e-23 9.47209e-26
1.74579e-23 9.42225e-26
1.74663e-23 9.34814e-26
1.7474e-23 9.27077e-26
1.74656e-23 9.20214e-26
1.74655e-23 9.09697e-26
1.74678e-23 8.9971e-26
1.74798e-23 8.97691e-26
1.74786e-23 8.87851e-26
1.74763e-23 8.78454e-26
1.74729e-23 8.6963e-26
1.74667e-23 8.62515e-26
1.74682e-23 8.5352e-26
1.7466e-23 8.4489e-26
1.74712e-23 8.37751e-26
1.74748e-23 8.29965e-26
1.7472e-23 8.22028e-26
1.74704e-23 8.13916e-26
