Averages Errors
-1.02359e-22 0
-1.0274e-22 3.81345e-25
-1.02991e-22 3.33928e-25
-1.03106e-22 2.62415e-25
-1.03003e-22 2.28015e-25
-1.02925e-22 2.01806e-25
-1.03149e-22 2.81925e-25
-1.03041e-22 2.66911e-25
-1.02858e-22 2.98643e-25
-1.02898e-22 2.7015e-25
-1.03061e-22 2.93699e-25
-1.03039e-22 2.69018e-25
-1.02959e-22 2.60045e-25
-1.03047e-22 2.5642e-25
-1.02991e-22 2.45142e-25
-1.02983e-22 2.29445e-25
-1.03038e-22 2.22321e-25
-1.03025e-22 2.10011e-25
-1.03012e-22 1.991e-25
-1.03054e-22 1.93578e-25
-1.03042e-22 1.84489e-25
-1.03038e-22 1.75948e-25
-1.03043e-22 1.68177e-25
-1.03032e-22 1.61357e-25
-1.03022e-22 1.55124e-25
-1.03035e-22 1.49636e-25
-1.03071e-22 1.48428e-25
-1.03024e-22 1.505e-25
-1.03014e-22 1.45559e-25
-1.03046e-22 1.441e-25
-1.03072e-22 1.41776e-25
-1.03049e-22 1.39146e-25
-1.03e-22 1.43516e-25
-1.03019e-22 1.40573e-25
-1.03005e-22 1.37269e-25
-1.03e-22 1.33491e-25
-1.03019e-22 1.3122e-25
-1.03043e-22 1.29971e-25
-1.03065e-22 1.28534e-25
-1.03019e-22 1.33691e-25
-1.02983e-22 1.35241e-25
-1.02999e-22 1.32973e-25
-1.0302e-22 1.31554e-25
-1.03005e-22 1.29372e-25
-1.03005e-22 1.26465e-25
-1.03007e-22 1.23695e-25
-1.02992e-22 1.21942e-25
-1.02975e-22 1.20535e-25
-1.0297e-22 1.18188e-25
-1.02988e-22 1.17296e-25
-1.02984e-22 1.15035e-25
-1.03018e-22 1.17806e-25
-1.02989e-22 1.19347e-25
-1.02969e-22 1.18714e-25
-1.02976e-22 1.16729e-25
-1.02979e-22 1.14679e-25
-1.02998e-22 1.14117e-25
-1.03006e-22 1.12454e-25
-1.03007e-22 1.10538e-25
-1.02983e-22 1.11301e-25
-1.02984e-22 1.09465e-25
-1.0299e-22 1.07852e-25
-1.03012e-22 1.08297e-25
-1.02995e-22 1.0789e-25
-1.02985e-22 1.06722e-25
-1.02986e-22 1.051e-25
-1.03005e-22 1.05136e-25
-1.02984e-22 1.05607e-25
-1.02984e-22 1.04066e-25
-1.03e-22 1.03963e-25
-1.0299e-22 1.03071e-25
-1.0301e-22 1.03608e-25
-1.02991e-22 1.03824e-25
-1.02994e-22 1.02446e-25
-1.02995e-22 1.01073e-25
-1.02992e-22 9.97674e-26
-1.03e-22 9.87849e-26
-1.03006e-22 9.77176e-26
-1.03018e-22 9.7159e-26
-1.03017e-22 9.59457e-26
-1.03001e-22 9.60907e-26
-1.02986e-22 9.59984e-26
-1.03001e-22 9.60011e-26
-1.02991e-22 9.54416e-26
-1.03e-22 9.47418e-26
-1.03007e-22 9.39668e-26
-1.02999e-22 9.3289e-26
-1.02999e-22 9.22229e-26
-1.03001e-22 9.12203e-26
-1.03014e-22 9.10811e-26
-1.03013e-22 9.00768e-26
-1.03012e-22 8.9106e-26
-1.03009e-22 8.82e-26
-1.03003e-22 8.74334e-26
-1.03005e-22 8.65212e-26
-1.03002e-22 8.56545e-26
-1.03008e-22 8.49471e-26
-1.03011e-22 8.41599e-26
-1.03008e-22 8.33566e-26
-1.03006e-22 8.25397e-26
