Averages Errors
-8.5495e-23 0
-8.55205e-23 2.55703e-26
-8.55286e-23 1.68328e-26
-8.55359e-23 1.39348e-26
-8.55363e-23 1.08036e-26
-8.55409e-23 9.93962e-27
-8.55362e-23 9.63325e-27
-8.55348e-23 8.45823e-27
-8.55301e-23 8.81527e-27
-8.5538e-23 1.11269e-26
-8.55348e-23 1.05549e-26
-8.5531e-23 1.03438e-26
-8.55279e-23 1.00253e-26
-8.55251e-23 9.66936e-27
-8.55236e-23 9.12618e-27
-8.55257e-23 8.77937e-27
-8.55291e-23 8.90985e-27
-8.55317e-23 8.80325e-27
-8.55314e-23 8.33366e-27
-8.55317e-23 7.9127e-27
-8.5532e-23 7.53293e-27
-8.55335e-23 7.34265e-27
-8.55347e-23 7.11846e-27
-8.55346e-23 6.81743e-27
-8.55356e-23 6.62832e-27
-8.55368e-23 6.47222e-27
-8.55364e-23 6.23893e-27
-8.55349e-23 6.19349e-27
-8.5537e-23 6.32397e-27
-8.5538e-23 6.19653e-27
-8.55392e-23 6.10637e-27
-8.55386e-23 5.9447e-27
-8.55379e-23 5.80407e-27
-8.5539e-23 5.74216e-27
-8.55386e-23 5.59135e-27
-8.55379e-23 5.47568e-27
-8.55391e-23 5.46089e-27
-8.55385e-23 5.35751e-27
-8.55375e-23 5.30787e-27
-8.55362e-23 5.32802e-27
-8.55343e-23 5.52837e-27
-8.55339e-23 5.40926e-27
-8.55319e-23 5.66605e-27
-8.55312e-23 5.58002e-27
-8.55317e-23 5.48073e-27
-8.55304e-23 5.52012e-27
-8.55307e-23 5.41046e-27
-8.55303e-23 5.30945e-27
-8.55304e-23 5.20087e-27
-8.55309e-23 5.11606e-27
-8.55309e-23 5.01479e-27
-8.55317e-23 4.97955e-27
-8.55313e-23 4.89921e-27
-8.55313e-23 4.80792e-27
-8.55318e-23 4.7439e-27
-8.5532e-23 4.66765e-27
-8.5533e-23 4.6779e-27
-8.5533e-23 4.59693e-27
-8.55325e-23 4.54739e-27
-8.55323e-23 4.47646e-27
-8.55321e-23 4.40631e-27
-8.55321e-23 4.33471e-27
-8.55322e-23 4.26569e-27
-8.55316e-23 4.23827e-27
-8.55311e-23 4.20511e-27
-8.55319e-23 4.21561e-27
-8.55319e-23 4.15222e-27
-8.55319e-23 4.09076e-27
-8.55321e-23 4.03459e-27
-8.55322e-23 3.97729e-27
-8.55325e-23 3.9343e-27
-8.55328e-23 3.89327e-27
-8.55321e-23 3.90598e-27
-8.55323e-23 3.85983e-27
-8.55323e-23 3.80815e-27
-8.55323e-23 3.75771e-27
-8.55324e-23 3.71139e-27
-8.5533e-23 3.69989e-27
-8.55328e-23 3.65847e-27
-8.55329e-23 3.6153e-27
-8.55325e-23 3.59474e-27
-8.5532e-23 3.58097e-27
-8.55323e-23 3.54753e-27
-8.55326e-23 3.52062e-27
-8.55333e-23 3.54109e-27
-8.55335e-23 3.50615e-27
-8.55332e-23 3.47918e-27
-8.55331e-23 3.43962e-27
-8.55335e-23 3.42346e-27
-8.55342e-23 3.44647e-27
-8.55347e-23 3.45394e-27
-8.55355e-23 3.49982e-27
-8.55357e-23 3.4704e-27
-8.55363e-23 3.48205e-27
-8.55363e-23 3.4452e-27
-8.5536e-23 3.42375e-27
-8.55363e-23 3.40414e-27
-8.55364e-23 3.37082e-27
-8.55364e-23 3.33765e-27
-8.55361e-23 3.31718e-27
