Averages Errors
3.7367e-20 0
3.80264e-20 2.5919e-23
3.84833e-20 2.33756e-23
3.86867e-20 1.83603e-23
3.84946e-20 1.61012e-23
3.83402e-20 1.44796e-23
3.87714e-20 2.09028e-23
3.85722e-20 1.97223e-23
3.82382e-20 2.17925e-23
3.82994e-20 1.96397e-23
3.86106e-20 2.157e-23
3.85758e-20 1.97381e-23
3.84313e-20 1.90242e-23
3.86027e-20 1.88575e-23
3.85022e-20 1.79943e-23
3.84844e-20 1.68466e-23
3.85792e-20 1.62572e-23
3.85492e-20 1.53725e-23
3.85253e-20 1.45714e-23
3.8604e-20 1.41654e-23
3.85811e-20 1.3504e-23
3.85704e-20 1.28824e-23
3.85759e-20 1.23114e-23
3.85564e-20 1.18121e-23
3.85344e-20 1.13627e-23
3.85569e-20 1.09528e-23
3.86247e-20 1.08712e-23
3.85404e-20 1.0988e-23
3.85179e-20 1.0639e-23
3.8575e-20 1.05203e-23
3.8622e-20 1.03415e-23
3.85812e-20 1.01403e-23
3.8491e-20 1.04481e-23
3.8525e-20 1.02237e-23
3.84981e-20 9.98362e-24
3.84896e-20 9.70802e-24
3.85226e-20 9.53088e-24
3.85692e-20 9.45538e-24
3.86127e-20 9.36696e-24
3.85272e-20 9.72774e-24
3.84632e-20 9.81549e-24
3.84937e-20 9.65358e-24
3.85369e-20 9.57812e-24
3.85107e-20 9.41425e-24
3.85097e-20 9.20276e-24
3.8515e-20 9.0029e-24
3.84862e-20 8.88151e-24
3.84551e-20 8.78016e-24
3.84441e-20 8.61005e-24
3.84778e-20 8.5398e-24
3.84705e-20 8.37563e-24
3.85325e-20 8.56695e-24
3.84772e-20 8.67987e-24
3.84404e-20 8.6395e-24
3.8452e-20 8.49316e-24
3.84582e-20 8.34362e-24
3.84904e-20 8.29305e-24
3.85058e-20 8.17132e-24
3.85091e-20 8.0327e-24
3.84645e-20 8.09028e-24
3.84663e-20 7.95687e-24
3.84774e-20 7.83959e-24
3.85174e-20 7.87263e-24
3.84873e-20 7.83839e-24
3.8469e-20 7.75042e-24
3.84696e-20 7.63213e-24
3.85042e-20 7.63908e-24
3.84656e-20 7.67736e-24
3.84642e-20 7.56547e-24
3.84958e-20 7.55936e-24
3.84748e-20 7.49775e-24
3.85117e-20 7.53367e-24
3.84784e-20 7.54396e-24
3.84829e-20 7.44341e-24
3.84842e-20 7.34366e-24
3.84793e-20 7.24894e-24
3.84939e-20 7.17712e-24
3.85047e-20 7.09712e-24
3.85266e-20 7.05936e-24
3.85239e-20 6.97136e-24
3.84948e-20 6.97897e-24
3.84689e-20 6.96796e-24
3.84963e-20 6.96744e-24
3.84759e-20 6.93073e-24
3.84916e-20 6.87642e-24
3.8506e-20 6.81952e-24
3.84902e-20 6.7691e-24
3.84901e-20 6.69174e-24
3.84944e-20 6.61827e-24
3.85168e-20 6.60343e-24
3.85146e-20 6.53104e-24
3.85104e-20 6.46183e-24
3.85039e-20 6.39709e-24
3.84923e-20 6.34506e-24
3.84951e-20 6.27892e-24
3.84909e-20 6.21541e-24
3.85006e-20 6.16292e-24
3.85075e-20 6.10562e-24
3.85022e-20 6.04723e-24
3.84992e-20 5.98757e-24
