Averages Errors
87.9449 0
89.8002 1.85534
91.0673 1.65922
91.6266 1.29972
91.0854 1.143
90.6554 1.02756
91.8506 1.47743
91.2955 1.39473
90.3616 1.54442
90.5312 1.39175
91.3975 1.52814
91.3019 1.39827
90.9016 1.34707
91.376 1.33431
91.093 1.274
91.0412 1.19285
91.3081 1.15182
91.2264 1.08902
91.1583 1.03235
91.3776 1.00362
91.3159 0.95663
91.2873 0.912559
91.3029 0.872122
91.2492 0.836718
91.1888 0.804825
91.2524 0.775866
91.4423 0.770337
91.2058 0.779064
91.1431 0.754333
91.3018 0.74583
91.4312 0.73289
91.3158 0.718939
91.0635 0.741079
91.1587 0.725227
91.0851 0.708037
91.0631 0.688441
91.156 0.675991
91.2851 0.670506
91.4061 0.664213
91.1694 0.689331
90.992 0.69531
91.0785 0.68405
91.1995 0.678816
91.1262 0.667241
91.1235 0.652251
91.1385 0.63809
91.0594 0.629354
90.9743 0.621951
90.944 0.609879
91.039 0.605062
91.0191 0.593413
91.1922 0.607084
91.0386 0.614993
90.9377 0.61188
90.9703 0.601533
90.987 0.590932
91.0773 0.587455
91.1213 0.578913
91.1304 0.569088
91.0063 0.57311
91.0124 0.563669
91.0436 0.55538
91.1558 0.557897
91.0718 0.555499
91.0205 0.54929
91.0231 0.54091
91.1188 0.541307
91.0112 0.544026
91.0082 0.536093
91.0963 0.535673
91.0376 0.531331
91.1409 0.534001
91.0487 0.534659
91.0613 0.527535
91.065 0.520467
91.0516 0.513748
91.0924 0.508671
91.1229 0.503031
91.1841 0.500377
91.1765 0.494141
91.0954 0.494699
91.0227 0.494005
91.0991 0.493964
91.0421 0.491365
91.0857 0.4875
91.1258 0.483465
91.0819 0.479886
91.0817 0.474402
91.0937 0.469193
91.1562 0.468141
91.15 0.463009
91.1379 0.458108
91.12 0.453507
91.088 0.449797
91.0959 0.445106
91.084 0.440605
91.1111 0.436882
91.1302 0.432822
91.1154 0.428683
91.1072 0.424453
