Averages Errors
2.08181e-25 0
2.04421e-25 3.75954e-27
2.00624e-25 4.37384e-27
2.03712e-25 4.37067e-27
2.02412e-25 3.62671e-27
2.03417e-25 3.12733e-27
2.05566e-25 3.40619e-27
2.04632e-25 3.09409e-27
2.04485e-25 2.73271e-27
2.0542e-25 2.61704e-27
2.05182e-25 2.37916e-27
2.0563e-25 2.21752e-27
2.06292e-25 2.1446e-27
2.07027e-25 2.11733e-27
2.07499e-25 2.02689e-27
2.07437e-25 1.897e-27
2.06365e-25 2.0798e-27
2.06295e-25 1.96209e-27
2.06314e-25 1.85605e-27
2.06435e-25 1.76498e-27
2.06453e-25 1.67893e-27
2.06336e-25 1.60503e-27
2.0563e-25 1.68877e-27
2.05707e-25 1.61872e-27
2.06414e-25 1.70599e-27
2.06244e-25 1.64782e-27
2.05947e-25 1.61323e-27
2.05843e-25 1.55798e-27
2.05936e-25 1.50615e-27
2.05506e-25 1.5174e-27
2.0581e-25 1.49879e-27
2.05972e-25 1.46027e-27
2.0584e-25 1.42152e-27
2.05664e-25 1.39019e-27
2.06003e-25 1.39179e-27
2.0617e-25 1.36283e-27
2.05962e-25 1.3417e-27
2.0574e-25 1.32463e-27
2.05498e-25 1.31273e-27
2.05551e-25 1.28056e-27
2.05672e-25 1.25486e-27
2.05723e-25 1.22568e-27
2.05958e-25 1.21962e-27
2.05996e-25 1.19219e-27
2.0598e-25 1.16552e-27
2.06281e-25 1.17913e-27
2.06317e-25 1.15432e-27
2.06167e-25 1.13986e-27
2.06088e-25 1.11917e-27
2.06114e-25 1.09687e-27
2.06369e-25 1.1051e-27
2.06701e-25 1.13316e-27
2.06841e-25 1.12038e-27
2.07117e-25 1.13368e-27
2.0731e-25 1.12942e-27
2.07444e-25 1.11717e-27
2.07377e-25 1.09946e-27
2.07389e-25 1.0804e-27
2.07457e-25 1.06414e-27
2.07629e-25 1.06029e-27
2.07856e-25 1.06709e-27
2.07696e-25 1.06179e-27
2.07638e-25 1.04641e-27
2.07433e-25 1.05015e-27
2.07284e-25 1.04458e-27
2.07173e-25 1.03455e-27
2.06905e-25 1.05387e-27
2.06875e-25 1.03868e-27
2.07002e-25 1.03141e-27
2.07314e-25 1.06339e-27
2.0752e-25 1.06837e-27
2.07605e-25 1.05678e-27
2.07525e-25 1.04521e-27
2.07476e-25 1.03219e-27
2.07464e-25 1.0184e-27
2.0753e-25 1.00705e-27
2.07595e-25 9.96005e-28
2.07654e-25 9.84952e-28
2.07552e-25 9.77742e-28
2.07403e-25 9.76875e-28
2.07399e-25 9.64749e-28
2.07419e-25 9.53117e-28
2.07313e-25 9.47448e-28
2.07265e-25 9.37337e-28
2.07382e-25 9.33625e-28
2.07194e-25 9.41703e-28
2.07015e-25 9.47863e-28
2.0693e-25 9.40898e-28
2.06787e-25 9.41173e-28
2.06688e-25 9.35936e-28
2.06807e-25 9.33189e-28
2.06795e-25 9.23064e-28
2.06671e-25 9.21446e-28
2.06607e-25 9.13822e-28
2.06631e-25 9.04466e-28
2.06772e-25 9.05971e-28
2.06911e-25 9.07357e-28
2.06821e-25 9.02588e-28
2.06788e-25 8.94011e-28
2.0678e-25 8.8506e-28
