Averages Errors
-6.47931e-25 0
-6.44041e-25 3.8897e-27
-6.40218e-25 4.43421e-27
-6.43221e-25 4.34168e-27
-6.41877e-25 3.62162e-27
-6.42898e-25 3.12823e-27
-6.45001e-25 3.37853e-27
-6.43997e-25 3.09354e-27
-6.43853e-25 2.73201e-27
-6.44786e-25 2.61544e-27
-6.44542e-25 2.37832e-27
-6.45015e-25 2.22209e-27
-6.45696e-25 2.15435e-27
-6.46458e-25 2.1354e-27
-6.46947e-25 2.04714e-27
-6.46888e-25 1.91582e-27
-6.45826e-25 2.08996e-27
-6.4578e-25 1.97096e-27
-6.45815e-25 1.86467e-27
-6.45959e-25 1.77478e-27
-6.45983e-25 1.68833e-27
-6.45862e-25 1.61436e-27
-6.45167e-25 1.69162e-27
-6.45255e-25 1.62199e-27
-6.45956e-25 1.70641e-27
-6.45785e-25 1.64836e-27
-6.4549e-25 1.61335e-27
-6.45382e-25 1.5584e-27
-6.45472e-25 1.50639e-27
-6.45041e-25 1.51777e-27
-6.45361e-25 1.50238e-27
-6.45534e-25 1.46486e-27
-6.45412e-25 1.42496e-27
-6.4525e-25 1.39185e-27
-6.45605e-25 1.39717e-27
-6.45776e-25 1.36858e-27
-6.45573e-25 1.34656e-27
-6.45359e-25 1.32796e-27
-6.45121e-25 1.3152e-27
-6.4519e-25 1.28377e-27
-6.45317e-25 1.25849e-27
-6.45367e-25 1.22917e-27
-6.45592e-25 1.22123e-27
-6.45624e-25 1.19357e-27
-6.45615e-25 1.16678e-27
-6.4592e-25 1.18135e-27
-6.45958e-25 1.15655e-27
-6.45817e-25 1.14096e-27
-6.45738e-25 1.12023e-27
-6.45764e-25 1.09793e-27
-6.46018e-25 1.10571e-27
-6.46348e-25 1.13316e-27
-6.46489e-25 1.12049e-27
-6.46768e-25 1.13451e-27
-6.46963e-25 1.13068e-27
-6.47105e-25 1.11934e-27
-6.47046e-25 1.10112e-27
-6.4707e-25 1.08223e-27
-6.47146e-25 1.06643e-27
-6.4732e-25 1.06291e-27
-6.4754e-25 1.06827e-27
-6.47374e-25 1.06403e-27
-6.47308e-25 1.04906e-27
-6.47094e-25 1.05457e-27
-6.46933e-25 1.0506e-27
-6.46809e-25 1.0419e-27
-6.46527e-25 1.06439e-27
-6.46494e-25 1.04914e-27
-6.46623e-25 1.04188e-27
-6.46933e-25 1.07262e-27
-6.47138e-25 1.07699e-27
-6.47223e-25 1.06536e-27
-6.47142e-25 1.05376e-27
-6.47099e-25 1.04034e-27
-6.47086e-25 1.02646e-27
-6.47154e-25 1.01518e-27
-6.47219e-25 1.00401e-27
-6.47275e-25 9.9262e-28
-6.47171e-25 9.8551e-28
-6.47018e-25 9.84969e-28
-6.47015e-25 9.72738e-28
-6.47032e-25 9.6095e-28
-6.46928e-25 9.54985e-28
-6.46887e-25 9.44434e-28
-6.47006e-25 9.40835e-28
-6.46818e-25 9.48782e-28
-6.46645e-25 9.53501e-28
-6.46564e-25 9.46099e-28
-6.46422e-25 9.46212e-28
-6.46326e-25 9.40513e-28
-6.46443e-25 9.37505e-28
-6.46429e-25 9.27366e-28
-6.46306e-25 9.25532e-28
-6.46245e-25 9.17703e-28
-6.46268e-25 9.08296e-28
-6.46409e-25 9.09764e-28
-6.46544e-25 9.10315e-28
-6.46446e-25 9.0623e-28
-6.46411e-25 8.97735e-28
-6.46393e-25 8.88878e-28
