Averages Errors
-4.3975e-25 0
-4.3962e-25 1.30156e-28
-4.39594e-25 7.95917e-29
-4.39509e-25 1.02029e-28
-4.39466e-25 9.01299e-29
-4.39481e-25 7.5088e-29
-4.39435e-25 7.78345e-29
-4.39365e-25 9.78025e-29
-4.39369e-25 8.63482e-29
-4.39366e-25 7.72853e-29
-4.3936e-25 7.01635e-29
-4.39385e-25 6.89937e-29
-4.39404e-25 6.60898e-29
-4.39431e-25 6.6995e-29
-4.39448e-25 6.45262e-29
-4.39451e-25 6.04656e-29
-4.39461e-25 5.76358e-29
-4.39486e-25 5.95792e-29
-4.39502e-25 5.86693e-29
-4.39524e-25 5.98522e-29
-4.3953e-25 5.73123e-29
-4.39525e-25 5.48981e-29
-4.39538e-25 5.39675e-29
-4.39549e-25 5.276e-29
-4.39543e-25 5.09498e-29
-4.39541e-25 4.89693e-29
-4.39543e-25 4.71685e-29
-4.39539e-25 4.56682e-29
-4.39536e-25 4.41443e-29
-4.39536e-25 4.26503e-29
-4.39551e-25 4.41171e-29
-4.39561e-25 4.3846e-29
-4.39573e-25 4.39386e-29
-4.39586e-25 4.47553e-29
-4.39601e-25 4.60857e-29
-4.39606e-25 4.50212e-29
-4.3961e-25 4.4003e-29
-4.39619e-25 4.35967e-29
-4.39622e-25 4.26423e-29
-4.39639e-25 4.48333e-29
-4.39644e-25 4.4032e-29
-4.39643e-25 4.29834e-29
-4.39634e-25 4.29685e-29
-4.39627e-25 4.25306e-29
-4.39635e-25 4.226e-29
-4.39639e-25 4.15215e-29
-4.39641e-25 4.06797e-29
-4.39649e-25 4.07023e-29
-4.3965e-25 3.98634e-29
-4.39651e-25 3.90721e-29
-4.39649e-25 3.83382e-29
-4.39647e-25 3.76438e-29
-4.39648e-25 3.69358e-29
-4.39651e-25 3.63673e-29
-4.39653e-25 3.57989e-29
-4.39661e-25 3.59538e-29
-4.39669e-25 3.62063e-29
-4.39681e-25 3.76338e-29
-4.39688e-25 3.76916e-29
-4.39691e-25 3.71407e-29
-4.39684e-25 3.70871e-29
-4.39677e-25 3.71776e-29
-4.3967e-25 3.73463e-29
-4.3966e-25 3.79294e-29
-4.39649e-25 3.91092e-29
-4.39636e-25 4.06148e-29
-4.39622e-25 4.22444e-29
-4.39619e-25 4.17432e-29
-4.39621e-25 4.11816e-29
-4.39619e-25 4.06506e-29
-4.39617e-25 4.01048e-29
-4.39619e-25 3.95637e-29
-4.39617e-25 3.90509e-29
-4.39623e-25 3.89787e-29
-4.39622e-25 3.84791e-29
-4.39625e-25 3.80851e-29
-4.39624e-25 3.75878e-29
-4.39621e-25 3.72876e-29
-4.39618e-25 3.6883e-29
-4.39615e-25 3.65735e-29
-4.39616e-25 3.61476e-29
-4.39613e-25 3.58243e-29
-4.39615e-25 3.54175e-29
-4.39622e-25 3.57315e-29
-4.39624e-25 3.53657e-29
-4.39624e-25 3.49554e-29
-4.3963e-25 3.51951e-29
-4.39634e-25 3.50194e-29
-4.39635e-25 3.4625e-29
-4.39638e-25 3.44314e-29
-4.39637e-25 3.40785e-29
-4.39634e-25 3.37916e-29
-4.39635e-25 3.34408e-29
-4.39638e-25 3.31578e-29
-4.39637e-25 3.28085e-29
-4.39638e-25 3.24664e-29
-4.39633e-25 3.2516e-29
-4.39626e-25 3.29425e-29
-4.39622e-25 3.27651e-29
-4.39613e-25 3.37629e-29
