Averages Errors
1.21703e-23 0
1.19733e-23 1.96998e-25
1.17684e-23 2.3443e-25
1.19291e-23 2.30887e-25
1.18532e-23 1.94261e-25
1.19002e-23 1.65433e-25
1.2011e-23 1.78397e-25
1.19602e-23 1.62662e-25
1.19508e-23 1.43759e-25
1.19981e-23 1.37019e-25
1.19827e-23 1.24894e-25
1.20039e-23 1.15957e-25
1.20362e-23 1.11466e-25
1.20728e-23 1.095e-25
1.20965e-23 1.04645e-25
1.20932e-23 9.79423e-26
1.20357e-23 1.085e-25
1.20308e-23 1.02409e-25
1.20312e-23 9.68697e-26
1.20374e-23 9.21112e-26
1.20381e-23 8.7618e-26
1.20321e-23 8.37574e-26
1.19945e-23 8.84094e-26
1.19981e-23 8.47197e-26
1.20349e-23 8.92156e-26
1.2025e-23 8.62775e-26
1.20089e-23 8.45695e-26
1.20035e-23 8.16767e-26
1.20087e-23 7.89834e-26
1.1986e-23 7.96138e-26
1.20021e-23 7.86679e-26
1.20101e-23 7.65921e-26
1.20022e-23 7.46535e-26
1.1992e-23 7.31366e-26
1.20093e-23 7.30847e-26
1.20177e-23 7.15177e-26
1.20066e-23 7.04384e-26
1.1995e-23 6.95355e-26
1.19824e-23 6.88812e-26
1.19852e-23 6.71965e-26
1.19916e-23 6.58471e-26
1.19944e-23 6.43213e-26
1.20072e-23 6.4091e-26
1.20095e-23 6.26587e-26
1.20087e-23 6.12554e-26
1.20248e-23 6.2033e-26
1.20266e-23 6.0727e-26
1.20186e-23 5.99873e-26
1.20143e-23 5.89062e-26
1.20157e-23 5.77319e-26
1.20293e-23 5.82127e-26
1.20471e-23 5.9775e-26
1.20547e-23 5.91259e-26
1.20694e-23 5.98674e-26
1.20796e-23 5.9638e-26
1.20867e-23 5.89926e-26
1.20831e-23 5.80601e-26
1.20836e-23 5.70526e-26
1.20872e-23 5.6197e-26
1.20964e-23 5.60008e-26
1.21083e-23 5.63559e-26
1.20998e-23 5.60939e-26
1.20968e-23 5.52763e-26
1.20861e-23 5.54395e-26
1.20785e-23 5.51066e-26
1.20731e-23 5.45425e-26
1.20593e-23 5.54668e-26
1.20581e-23 5.46563e-26
1.20651e-23 5.4312e-26
1.20818e-23 5.60649e-26
1.20926e-23 5.6321e-26
1.2097e-23 5.57004e-26
1.20926e-23 5.51036e-26
1.20898e-23 5.44259e-26
1.2089e-23 5.37007e-26
1.20924e-23 5.30965e-26
1.20958e-23 5.25109e-26
1.20988e-23 5.19195e-26
1.20931e-23 5.15763e-26
1.2085e-23 5.15657e-26
1.20846e-23 5.09262e-26
1.20856e-23 5.03107e-26
1.20798e-23 5.00409e-26
1.20769e-23 4.95284e-26
1.20829e-23 4.93105e-26
1.20729e-23 4.97515e-26
1.20634e-23 5.00761e-26
1.20589e-23 4.97095e-26
1.20511e-23 4.97568e-26
1.20456e-23 4.95147e-26
1.20517e-23 4.93471e-26
1.2051e-23 4.8812e-26
1.20446e-23 4.87125e-26
1.20413e-23 4.83042e-26
1.20425e-23 4.78083e-26
1.20498e-23 4.78624e-26
1.20569e-23 4.7896e-26
1.20517e-23 4.76853e-26
1.20497e-23 4.72432e-26
1.20492e-23 4.67709e-26
