Averages Errors
1.08565 0
1.06604 0.0196058
1.04624 0.0228093
1.06235 0.0227928
1.05556 0.0189131
1.06081 0.0163088
1.07201 0.0177631
1.06714 0.0161355
1.06638 0.0142509
1.07125 0.0136477
1.07001 0.0124072
1.07235 0.0115642
1.0758 0.0111839
1.07963 0.0110418
1.0821 0.0105701
1.08177 0.00989275
1.07618 0.010846
1.07582 0.0102322
1.07591 0.00967918
1.07655 0.00920427
1.07664 0.00875551
1.07603 0.00837012
1.07235 0.00880681
1.07275 0.00844151
1.07644 0.00889663
1.07555 0.00859328
1.074 0.00841289
1.07346 0.00812478
1.07394 0.00785447
1.0717 0.00791315
1.07328 0.00781608
1.07413 0.00761522
1.07344 0.00741314
1.07253 0.00724974
1.07429 0.00725811
1.07516 0.00710707
1.07408 0.00699691
1.07292 0.00690786
1.07166 0.00684579
1.07193 0.00667806
1.07257 0.00654404
1.07283 0.00639183
1.07406 0.00636024
1.07426 0.00621722
1.07417 0.0060781
1.07575 0.00614912
1.07593 0.0060197
1.07515 0.0059443
1.07474 0.00583643
1.07487 0.0057201
1.0762 0.00576303
1.07793 0.00590934
1.07866 0.00584271
1.0801 0.00591207
1.08111 0.00588985
1.08181 0.005826
1.08146 0.00573361
1.08152 0.00563422
1.08188 0.00554944
1.08277 0.00552933
1.08396 0.0055648
1.08312 0.00553715
1.08282 0.00545698
1.08175 0.00547645
1.08097 0.0054474
1.0804 0.00539514
1.07899 0.00549588
1.07884 0.00541667
1.0795 0.00537873
1.08113 0.00554554
1.08221 0.0055715
1.08265 0.00551107
1.08223 0.0054507
1.08197 0.00538279
1.08191 0.00531087
1.08226 0.00525169
1.08259 0.00519411
1.0829 0.00513647
1.08237 0.00509887
1.0816 0.00509434
1.08157 0.00503111
1.08168 0.00497045
1.08113 0.00494088
1.08087 0.00488816
1.08149 0.0048688
1.0805 0.00491093
1.07957 0.00494305
1.07913 0.00490672
1.07838 0.00490816
1.07786 0.00488085
1.07848 0.00486652
1.07842 0.00481372
1.07778 0.00480529
1.07744 0.00476553
1.07757 0.00471673
1.0783 0.00472459
1.07903 0.00473181
1.07856 0.00470694
1.07839 0.00466222
1.07835 0.00461554
