Averages Errors
3.79756e-23 0
3.78875e-23 8.81091e-26
3.7627e-23 2.65457e-25
3.78036e-23 2.57701e-25
3.79438e-23 2.43978e-25
3.81249e-23 2.69216e-25
3.82914e-23 2.81908e-25
3.84294e-23 2.80463e-25
3.85384e-23 2.70288e-25
3.86621e-23 2.71572e-25
3.88054e-23 2.84362e-25
3.89328e-23 2.89199e-25
3.90288e-23 2.8282e-25
3.91142e-23 2.75393e-25
3.91986e-23 2.69913e-25
3.92451e-23 2.56723e-25
3.92891e-23 2.4513e-25
3.93232e-23 2.33616e-25
3.93453e-23 2.22086e-25
3.93413e-23 2.10727e-25
3.9348e-23 2.00551e-25
3.93338e-23 1.91744e-25
3.93238e-23 1.83487e-25
3.93206e-23 1.75705e-25
3.93118e-23 1.68761e-25
3.92852e-23 1.64299e-25
3.93055e-23 1.59392e-25
3.93332e-23 1.56076e-25
3.93388e-23 1.50701e-25
3.935e-23 1.46023e-25
3.93679e-23 1.42363e-25
3.93738e-23 1.37969e-25
3.94028e-23 1.36821e-25
3.94105e-23 1.32958e-25
3.94118e-23 1.2911e-25
3.94273e-23 1.2643e-25
3.94516e-23 1.2533e-25
3.94677e-23 1.23049e-25
3.9438e-23 1.2347e-25
3.94527e-23 1.21235e-25
3.94631e-23 1.18693e-25
3.94727e-23 1.1623e-25
3.94749e-23 1.13517e-25
3.94741e-23 1.1091e-25
3.94814e-23 1.08664e-25
3.94799e-23 1.06285e-25
3.94846e-23 1.04103e-25
3.94768e-23 1.02209e-25
3.94827e-23 1.00272e-25
3.94817e-23 9.82509e-26
3.94732e-23 9.66823e-26
3.94631e-23 9.53414e-26
3.94504e-23 9.4383e-26
3.9446e-23 9.27225e-26
3.94451e-23 9.10254e-26
3.94389e-23 8.95979e-26
3.9433e-23 8.82098e-26
3.94325e-23 8.66773e-26
3.9428e-23 8.53098e-26
3.94246e-23 8.39468e-26
3.94281e-23 8.26325e-26
3.94312e-23 8.13503e-26
3.94331e-23 8.00711e-26
3.94302e-23 7.8865e-26
3.94356e-23 7.78312e-26
3.94267e-23 7.71573e-26
3.94217e-23 7.61633e-26
3.94278e-23 7.52849e-26
3.9424e-23 7.42862e-26
3.94142e-23 7.38631e-26
3.94075e-23 7.3127e-26
3.94043e-23 7.21763e-26
3.94001e-23 7.13016e-26
3.93904e-23 7.09991e-26
3.93754e-23 7.16346e-26
3.93688e-23 7.09906e-26
3.93573e-23 7.10091e-26
3.93403e-23 7.21039e-26
3.93284e-23 7.21787e-26
3.93097e-23 7.36798e-26
3.92863e-23 7.64536e-26
3.92632e-23 7.89724e-26
3.92417e-23 8.09186e-26
3.92239e-23 8.1892e-26
3.92068e-23 8.27244e-26
3.91922e-23 8.30367e-26
3.91776e-23 8.33713e-26
3.91626e-23 8.37769e-26
3.91532e-23 8.33575e-26
3.91485e-23 8.25633e-26
3.91441e-23 8.17665e-26
3.91395e-23 8.10043e-26
3.91331e-23 8.03879e-26
3.91327e-23 7.95289e-26
3.91351e-23 7.8722e-26
3.91284e-23 7.81779e-26
3.91297e-23 7.73777e-26
3.91299e-23 7.65844e-26
3.91326e-23 7.58532e-26
3.91346e-23 7.5117e-26
