Averages Errors
-6.55229e-24 0
-6.4582e-24 9.40975e-26
-6.20102e-24 2.62852e-25
-6.37801e-24 2.56652e-25
-6.51906e-24 2.43756e-25
-6.70035e-24 2.69217e-25
-6.86663e-24 2.81816e-25
-7.0044e-24 2.80258e-25
-7.1133e-24 2.70094e-25
-7.23743e-24 2.71601e-25
-7.38078e-24 2.84439e-25
-7.508e-24 2.89147e-25
-7.60364e-24 2.82648e-25
-7.68911e-24 2.75285e-25
-7.77331e-24 2.69754e-25
-7.81954e-24 2.56532e-25
-7.86356e-24 2.44958e-25
-7.89776e-24 2.33467e-25
-7.91945e-24 2.219e-25
-7.91552e-24 2.1055e-25
-7.92211e-24 2.00381e-25
-7.90755e-24 1.9161e-25
-7.89785e-24 1.83346e-25
-7.89454e-24 1.75572e-25
-7.88532e-24 1.68655e-25
-7.85905e-24 1.64155e-25
-7.87952e-24 1.59278e-25
-7.90702e-24 1.5593e-25
-7.91235e-24 1.50551e-25
-7.92377e-24 1.45894e-25
-7.94146e-24 1.42214e-25
-7.94742e-24 1.37827e-25
-7.97646e-24 1.36705e-25
-7.98376e-24 1.32824e-25
-7.98528e-24 1.28982e-25
-8.00095e-24 1.26323e-25
-8.02519e-24 1.25231e-25
-8.04108e-24 1.22922e-25
-8.01138e-24 1.23358e-25
-8.02632e-24 1.21158e-25
-8.03662e-24 1.18615e-25
-8.04617e-24 1.16149e-25
-8.04847e-24 1.13439e-25
-8.04765e-24 1.10834e-25
-8.05509e-24 1.08598e-25
-8.05369e-24 1.0622e-25
-8.05817e-24 1.04033e-25
-8.05057e-24 1.02125e-25
-8.05647e-24 1.00193e-25
-8.05537e-24 9.81748e-26
-8.0469e-24 9.66029e-26
-8.0367e-24 9.52741e-26
-8.02412e-24 9.43027e-26
-8.01978e-24 9.26412e-26
-8.01883e-24 9.09462e-26
-8.01264e-24 8.95214e-26
-8.00674e-24 8.81346e-26
-8.00623e-24 8.66033e-26
-8.00174e-24 8.52407e-26
-7.99829e-24 8.38792e-26
-8.00182e-24 8.25683e-26
-8.00493e-24 8.1285e-26
-8.00682e-24 8.00067e-26
-8.00377e-24 7.88056e-26
-8.00928e-24 7.77787e-26
-8.00019e-24 7.71285e-26
-7.99531e-24 7.61249e-26
-8.00139e-24 7.5243e-26
-7.99739e-24 7.42523e-26
-7.98761e-24 7.38339e-26
-7.98088e-24 7.3097e-26
-7.97764e-24 7.21476e-26
-7.97343e-24 7.12768e-26
-7.9636e-24 7.09909e-26
-7.94863e-24 7.16194e-26
-7.94205e-24 7.09763e-26
-7.93037e-24 7.10152e-26
-7.91346e-24 7.21099e-26
-7.9015e-24 7.21893e-26
-7.88265e-24 7.3732e-26
-7.85919e-24 7.65011e-26
-7.83598e-24 7.90459e-26
-7.81455e-24 8.09756e-26
-7.79673e-24 8.19667e-26
-7.77958e-24 8.27918e-26
-7.76502e-24 8.31094e-26
-7.75036e-24 8.34466e-26
-7.73531e-24 8.38547e-26
-7.72599e-24 8.34287e-26
-7.72122e-24 8.26345e-26
-7.71685e-24 8.18382e-26
-7.71219e-24 8.1078e-26
-7.70573e-24 8.04609e-26
-7.70544e-24 7.96008e-26
-7.7077e-24 7.87908e-26
-7.70106e-24 7.8248e-26
-7.70231e-24 7.74471e-26
-7.70252e-24 7.66531e-26
-7.70514e-24 7.59202e-26
-7.7071e-24 7.51826e-26
