Averages Errors
3.14233e-23 0
3.14293e-23 5.98848e-27
3.1426e-23 4.8223e-27
3.14255e-23 3.4357e-27
3.14248e-23 2.76951e-27
3.14246e-23 2.27014e-27
3.14247e-23 1.92502e-27
3.1425e-23 1.68966e-27
3.14251e-23 1.49179e-27
3.14247e-23 1.39339e-27
3.14246e-23 1.26496e-27
3.14248e-23 1.18385e-27
3.14252e-23 1.15157e-27
3.14251e-23 1.07521e-27
3.14253e-23 1.02126e-27
3.14255e-23 9.86808e-28
3.14255e-23 9.27198e-28
3.14254e-23 8.78081e-28
3.14259e-23 9.53253e-28
3.14258e-23 9.0691e-28
3.14258e-23 8.63146e-28
3.14262e-23 9.00614e-28
3.1426e-23 8.91667e-28
3.1426e-23 8.56856e-28
3.14264e-23 9.14336e-28
3.14262e-23 9.1896e-28
3.1426e-23 9.03151e-28
3.14262e-23 8.96482e-28
3.14265e-23 9.00399e-28
3.14263e-23 8.91985e-28
3.14265e-23 8.87022e-28
3.14264e-23 8.61383e-28
3.14263e-23 8.39574e-28
3.14267e-23 9.02042e-28
3.14265e-23 8.9127e-28
3.14264e-23 8.77027e-28
3.14264e-23 8.53181e-28
3.14266e-23 8.66403e-28
3.14267e-23 8.44488e-28
3.14264e-23 8.65447e-28
3.14264e-23 8.45436e-28
3.14265e-23 8.2658e-28
3.14264e-23 8.08534e-28
3.14264e-23 7.9006e-28
3.14263e-23 7.81447e-28
3.14263e-23 7.66024e-28
3.14264e-23 7.68429e-28
3.14262e-23 7.75418e-28
3.14262e-23 7.60654e-28
3.14263e-23 7.55506e-28
3.14263e-23 7.42886e-28
3.14264e-23 7.3469e-28
3.14262e-23 7.29256e-28
3.14262e-23 7.17607e-28
3.14262e-23 7.06464e-28
3.14263e-23 6.93896e-28
3.14263e-23 6.81619e-28
3.14262e-23 6.70138e-28
3.14263e-23 6.62368e-28
3.14263e-23 6.51246e-28
3.14263e-23 6.42807e-28
3.14263e-23 6.34949e-28
3.14263e-23 6.24882e-28
3.14264e-23 6.24188e-28
3.14263e-23 6.2014e-28
3.14265e-23 6.40541e-28
3.14264e-23 6.49696e-28
3.14264e-23 6.42268e-28
3.14266e-23 6.48325e-28
3.14266e-23 6.39695e-28
3.14266e-23 6.30823e-28
3.14266e-23 6.2233e-28
3.14267e-23 6.16631e-28
3.14268e-23 6.19285e-28
3.14268e-23 6.11975e-28
3.14268e-23 6.03905e-28
3.14269e-23 6.08512e-28
3.14269e-23 6.0066e-28
3.14269e-23 5.93701e-28
3.14271e-23 6.09093e-28
3.14271e-23 6.01549e-28
3.14272e-23 6.02165e-28
3.14271e-23 5.9688e-28
3.14272e-23 5.96706e-28
3.14272e-23 5.90116e-28
3.14272e-23 5.84625e-28
3.14273e-23 5.78467e-28
3.14273e-23 5.72422e-28
3.14272e-23 5.6787e-28
3.14273e-23 5.61768e-28
3.14273e-23 5.56111e-28
3.14273e-23 5.5224e-28
3.14273e-23 5.46284e-28
3.14273e-23 5.42345e-28
3.14274e-23 5.42556e-28
3.14274e-23 5.37501e-28
3.14274e-23 5.31948e-28
3.14274e-23 5.26686e-28
3.14274e-23 5.22042e-28
3.14274e-23 5.17337e-28
