Averages Errors
2.82596e-21 0
2.82071e-21 2.53168e-25
2.8035e-21 8.4281e-25
2.81631e-21 8.58417e-25
2.82636e-21 8.2294e-25
2.8392e-21 9.13693e-25
2.85116e-21 9.63693e-25
2.86137e-21 9.69026e-25
2.86973e-21 9.4499e-25
2.87914e-21 9.59428e-25
2.88987e-21 1.01027e-24
2.89948e-21 1.03228e-24
2.90692e-21 1.01503e-24
2.91358e-21 9.93145e-25
2.92012e-21 9.76843e-25
2.92394e-21 9.32112e-25
2.92742e-21 8.91591e-25
2.93003e-21 8.49959e-25
2.93166e-21 8.07797e-25
2.93136e-21 7.66478e-25
2.93172e-21 7.29273e-25
2.93062e-21 6.97353e-25
2.92983e-21 6.67425e-25
2.92957e-21 6.39141e-25
2.92902e-21 6.13607e-25
2.9273e-21 5.95359e-25
2.9288e-21 5.77464e-25
2.93085e-21 5.65108e-25
2.93142e-21 5.45971e-25
2.93242e-21 5.29648e-25
2.93388e-21 5.17131e-25
2.93448e-21 5.01554e-25
2.93663e-21 4.96961e-25
2.93725e-21 4.83059e-25
2.93739e-21 4.69101e-25
2.93845e-21 4.58756e-25
2.94011e-21 4.53313e-25
2.94128e-21 4.44818e-25
2.93934e-21 4.4322e-25
2.94047e-21 4.35431e-25
2.94128e-21 4.26445e-25
2.94203e-21 4.17752e-25
2.94229e-21 4.08109e-25
2.94233e-21 3.98732e-25
2.94293e-21 3.90829e-25
2.9429e-21 3.82242e-25
2.94327e-21 3.74449e-25
2.94275e-21 3.67409e-25
2.94317e-21 3.60405e-25
2.94313e-21 3.53129e-25
2.94257e-21 3.47194e-25
2.94189e-21 3.42039e-25
2.94099e-21 3.38271e-25
2.94064e-21 3.32385e-25
2.94051e-21 3.26346e-25
2.94002e-21 3.21341e-25
2.93956e-21 3.16443e-25
2.93947e-21 3.10963e-25
2.93914e-21 3.06071e-25
2.93889e-21 3.01179e-25
2.93911e-21 2.96393e-25
2.9393e-21 2.91729e-25
2.93942e-21 2.87117e-25
2.93922e-21 2.8276e-25
2.93962e-21 2.79035e-25
2.93903e-21 2.7622e-25
2.9387e-21 2.72558e-25
2.93911e-21 2.69248e-25
2.93882e-21 2.65671e-25
2.93812e-21 2.64021e-25
2.9376e-21 2.61504e-25
2.93728e-21 2.58288e-25
2.9369e-21 2.55396e-25
2.93615e-21 2.54494e-25
2.93505e-21 2.56656e-25
2.93452e-21 2.54543e-25
2.93363e-21 2.54796e-25
2.93237e-21 2.58763e-25
2.93145e-21 2.59316e-25
2.93007e-21 2.64605e-25
2.92836e-21 2.73966e-25
2.92668e-21 2.82512e-25
2.92509e-21 2.89344e-25
2.92376e-21 2.93044e-25
2.92246e-21 2.96313e-25
2.92134e-21 2.97736e-25
2.92024e-21 2.9909e-25
2.91912e-21 3.0053e-25
2.91841e-21 2.99114e-25
2.91803e-21 2.96345e-25
2.91769e-21 2.93516e-25
2.91736e-21 2.90755e-25
2.91691e-21 2.88431e-25
2.91688e-21 2.85348e-25
2.91706e-21 2.8245e-25
2.91662e-21 2.80296e-25
2.91672e-21 2.77433e-25
2.91673e-21 2.74588e-25
2.9169e-21 2.71926e-25
2.91702e-21 2.69257e-25
