Averages Errors
198.041 0
197.581 0.459483
196.222 1.38434
197.143 1.3439
197.875 1.27233
198.819 1.40395
199.687 1.47014
200.407 1.4626
200.975 1.40953
201.621 1.41623
202.368 1.48293
203.032 1.50816
203.533 1.47489
203.978 1.43616
204.418 1.40758
204.661 1.33879
204.89 1.27834
205.068 1.21829
205.184 1.15817
205.163 1.09893
205.197 1.04586
205.123 0.999934
205.071 0.956872
205.055 0.91629
205.009 0.880077
204.87 0.856807
204.976 0.831221
205.12 0.813928
205.15 0.785898
205.208 0.761501
205.301 0.742417
205.332 0.7195
205.483 0.713513
205.523 0.693368
205.53 0.673303
205.611 0.659325
205.738 0.653587
205.822 0.641695
205.667 0.643889
205.744 0.632231
205.798 0.618975
205.848 0.60613
205.859 0.591982
205.855 0.578388
205.893 0.566675
205.886 0.554271
205.91 0.542893
205.869 0.533012
205.9 0.522912
205.895 0.512373
205.85 0.504192
205.797 0.4972
205.731 0.492202
205.708 0.483542
205.704 0.474692
205.672 0.467248
205.641 0.460009
205.638 0.452017
205.615 0.444885
205.597 0.437778
205.615 0.430923
205.632 0.424237
205.641 0.417566
205.626 0.411276
205.654 0.405885
205.608 0.402371
205.582 0.397187
205.614 0.392606
205.594 0.387398
205.543 0.385192
205.508 0.381353
205.491 0.376395
205.469 0.371833
205.419 0.370256
205.34 0.37357
205.306 0.370212
205.246 0.370308
205.158 0.376017
205.095 0.376408
204.998 0.384236
204.876 0.398701
204.755 0.411836
204.643 0.421986
204.551 0.427062
204.461 0.431403
204.385 0.433032
204.309 0.434776
204.231 0.436892
204.182 0.434704
204.157 0.430562
204.134 0.426407
204.11 0.422433
204.077 0.419218
204.075 0.414738
204.087 0.410531
204.053 0.407693
204.059 0.40352
204.06 0.399383
204.074 0.39557
204.084 0.391731
