Averages Errors
3.39724e-23 0
3.2323e-23 1.64938e-24
3.24381e-23 9.59197e-25
3.2122e-23 7.48293e-25
3.24821e-23 6.82387e-25
3.2495e-23 5.57317e-25
3.2513e-23 4.7136e-25
3.26582e-23 4.33295e-25
3.26375e-23 3.82693e-25
3.2666e-23 3.43478e-25
3.27637e-23 3.25681e-25
3.26875e-23 3.06916e-25
3.24116e-23 3.9476e-25
3.23714e-23 3.67679e-25
3.24253e-23 3.46502e-25
3.24264e-23 3.24125e-25
3.23941e-23 3.0618e-25
3.23237e-23 2.97129e-25
3.22944e-23 2.82573e-25
3.23018e-23 2.68174e-25
3.22332e-23 2.6414e-25
3.21909e-23 2.55378e-25
3.20677e-23 2.7337e-25
3.19439e-23 2.89515e-25
3.19889e-23 2.81316e-25
3.20186e-23 2.71909e-25
3.20292e-23 2.61859e-25
3.19942e-23 2.54753e-25
3.20366e-23 2.49439e-25
3.20766e-23 2.44275e-25
3.20009e-23 2.48086e-25
3.20091e-23 2.40346e-25
3.20074e-23 2.32955e-25
3.2001e-23 2.26091e-25
3.20094e-23 2.19696e-25
3.19788e-23 2.15682e-25
3.20319e-23 2.16381e-25
3.20525e-23 2.11623e-25
3.20668e-23 2.06615e-25
3.21453e-23 2.16144e-25
3.21846e-23 2.14443e-25
3.22425e-23 2.1715e-25
3.22361e-23 2.12138e-25
3.22141e-23 2.08421e-25
3.22677e-23 2.10652e-25
3.23137e-23 2.11091e-25
3.23074e-23 2.06645e-25
3.2263e-23 2.07117e-25
3.22567e-23 2.02942e-25
3.2243e-23 1.99313e-25
3.22182e-23 1.96935e-25
3.21959e-23 1.94397e-25
3.21887e-23 1.90828e-25
3.21845e-23 1.87309e-25
3.22155e-23 1.86469e-25
3.22178e-23 1.83123e-25
3.22049e-23 1.8034e-25
3.21867e-23 1.78139e-25
3.21912e-23 1.75153e-25
3.22108e-23 1.73318e-25
3.22519e-23 1.75344e-25
3.22035e-23 1.79158e-25
3.21873e-23 1.77035e-25
3.22025e-23 1.74906e-25
3.22175e-23 1.7285e-25
3.21778e-23 1.74788e-25
3.21823e-23 1.7222e-25
3.21901e-23 1.69847e-25
3.22027e-23 1.67835e-25
3.21967e-23 1.65529e-25
3.21736e-23 1.64805e-25
3.21708e-23 1.62523e-25
3.21768e-23 1.60392e-25
3.21842e-23 1.58383e-25
3.21894e-23 1.56343e-25
3.21831e-23 1.54401e-25
3.21831e-23 1.52382e-25
3.21923e-23 1.50697e-25
3.21829e-23 1.49073e-25
3.21708e-23 1.47691e-25
3.2158e-23 1.46416e-25
3.21521e-23 1.44741e-25
3.21337e-23 1.44164e-25
3.21142e-23 1.43773e-25
3.21138e-23 1.42072e-25
3.21183e-23 1.4048e-25
3.21471e-23 1.41815e-25
3.21569e-23 1.40535e-25
3.21418e-23 1.39761e-25
3.21319e-23 1.38551e-25
3.21182e-23 1.37704e-25
3.21179e-23 1.362e-25
3.21301e-23 1.35272e-25
3.21442e-23 1.34569e-25
3.21375e-23 1.33311e-25
3.21555e-23 1.33139e-25
3.21536e-23 1.31773e-25
3.2162e-23 1.30688e-25
3.21497e-23 1.29943e-25
3.21459e-23 1.28691e-25
