Averages Errors
-1.08357e-22 0
-1.06722e-22 1.63513e-24
-1.06841e-22 9.5147e-25
-1.06531e-22 7.40554e-25
-1.06892e-22 6.77573e-25
-1.06901e-22 5.5332e-25
-1.06922e-22 4.68078e-25
-1.07071e-22 4.31998e-25
-1.07048e-22 3.81678e-25
-1.07079e-22 3.42776e-25
-1.07175e-22 3.24555e-25
-1.07097e-22 3.06264e-25
-1.0682e-22 3.95388e-25
-1.06778e-22 3.68435e-25
-1.06826e-22 3.46379e-25
-1.06824e-22 3.24018e-25
-1.06795e-22 3.05682e-25
-1.06729e-22 2.95782e-25
-1.06705e-22 2.80823e-25
-1.06711e-22 2.66501e-25
-1.06641e-22 2.63061e-25
-1.06598e-22 2.54427e-25
-1.06474e-22 2.73108e-25
-1.06352e-22 2.88759e-25
-1.06395e-22 2.80355e-25
-1.06423e-22 2.70817e-25
-1.06432e-22 2.6075e-25
-1.06398e-22 2.53631e-25
-1.06443e-22 2.48835e-25
-1.06483e-22 2.43828e-25
-1.06408e-22 2.47448e-25
-1.06418e-22 2.39775e-25
-1.06414e-22 2.32427e-25
-1.06406e-22 2.25613e-25
-1.06414e-22 2.19207e-25
-1.06383e-22 2.15309e-25
-1.06435e-22 2.15914e-25
-1.06456e-22 2.11196e-25
-1.06472e-22 2.06335e-25
-1.06553e-22 2.16533e-25
-1.06592e-22 2.14864e-25
-1.06652e-22 2.17941e-25
-1.06646e-22 2.12877e-25
-1.06626e-22 2.08964e-25
-1.06681e-22 2.11376e-25
-1.06726e-22 2.11573e-25
-1.06718e-22 2.07146e-25
-1.06674e-22 2.07636e-25
-1.06668e-22 2.03449e-25
-1.06654e-22 1.99816e-25
-1.06628e-22 1.97532e-25
-1.06606e-22 1.94947e-25
-1.06599e-22 1.9136e-25
-1.06596e-22 1.87811e-25
-1.06627e-22 1.86995e-25
-1.06631e-22 1.83656e-25
-1.06618e-22 1.80838e-25
-1.06601e-22 1.78506e-25
-1.06606e-22 1.7553e-25
-1.06626e-22 1.73705e-25
-1.06666e-22 1.75395e-25
-1.06618e-22 1.79105e-25
-1.06602e-22 1.76949e-25
-1.06619e-22 1.7497e-25
-1.06633e-22 1.72883e-25
-1.06594e-22 1.74775e-25
-1.06599e-22 1.72223e-25
-1.06606e-22 1.69825e-25
-1.06619e-22 1.67853e-25
-1.06613e-22 1.6556e-25
-1.0659e-22 1.64838e-25
-1.06587e-22 1.62548e-25
-1.06593e-22 1.60406e-25
-1.066e-22 1.58395e-25
-1.06606e-22 1.56364e-25
-1.066e-22 1.54409e-25
-1.06599e-22 1.52393e-25
-1.06608e-22 1.50667e-25
-1.06597e-22 1.49133e-25
-1.06583e-22 1.479e-25
-1.0657e-22 1.46695e-25
-1.06563e-22 1.45049e-25
-1.06544e-22 1.44551e-25
-1.06524e-22 1.4415e-25
-1.06523e-22 1.42448e-25
-1.06527e-22 1.40842e-25
-1.06555e-22 1.41998e-25
-1.06564e-22 1.40653e-25
-1.06549e-22 1.39918e-25
-1.06539e-22 1.38678e-25
-1.06526e-22 1.37781e-25
-1.06526e-22 1.36275e-25
-1.06538e-22 1.35294e-25
-1.06552e-22 1.34593e-25
-1.06545e-22 1.33354e-25
-1.06563e-22 1.33259e-25
-1.06562e-22 1.31883e-25
-1.06571e-22 1.30828e-25
-1.06559e-22 1.30029e-25
-1.06556e-22 1.28762e-25
