Averages Errors
-7.43847e-23 0
-7.43989e-23 1.42462e-26
-7.44025e-23 8.96686e-27
-7.44091e-23 9.16542e-27
-7.44096e-23 7.11769e-27
-7.44063e-23 6.70159e-27
-7.44086e-23 6.11302e-27
-7.44126e-23 6.65875e-27
-7.44104e-23 6.27634e-27
-7.44128e-23 6.08403e-27
-7.4411e-23 5.77378e-27
-7.44097e-23 5.44533e-27
-7.44081e-23 5.23118e-27
-7.44065e-23 5.10158e-27
-7.4401e-23 7.3131e-27
-7.43973e-23 7.78595e-27
-7.44013e-23 8.33722e-27
-7.44051e-23 8.75412e-27
-7.44102e-23 9.7173e-27
-7.44097e-23 9.23173e-27
-7.4408e-23 8.95024e-27
-7.44076e-23 8.54205e-27
-7.44064e-23 8.25142e-27
-7.44076e-23 7.99709e-27
-7.44061e-23 7.82668e-27
-7.44045e-23 7.69347e-27
-7.44029e-23 7.57365e-27
-7.44033e-23 7.31296e-27
-7.4406e-23 7.53181e-27
-7.44067e-23 7.31831e-27
-7.44075e-23 7.11753e-27
-7.44087e-23 7.00554e-27
-7.44066e-23 7.12338e-27
-7.44055e-23 7.00255e-27
-7.44047e-23 6.83789e-27
-7.44041e-23 6.67965e-27
-7.44036e-23 6.51348e-27
-7.44038e-23 6.34472e-27
-7.44057e-23 6.44718e-27
-7.44074e-23 6.52404e-27
-7.44077e-23 6.36845e-27
-7.44092e-23 6.3845e-27
-7.44103e-23 6.34226e-27
-7.44121e-23 6.43473e-27
-7.44129e-23 6.34384e-27
-7.44119e-23 6.28023e-27
-7.4411e-23 6.20885e-27
-7.44108e-23 6.08113e-27
-7.44109e-23 5.95592e-27
-7.44108e-23 5.83667e-27
-7.44099e-23 5.78301e-27
-7.44102e-23 5.67756e-27
-7.44104e-23 5.57305e-27
-7.44114e-23 5.56182e-27
-7.44117e-23 5.46512e-27
-7.44127e-23 5.47563e-27
-7.44131e-23 5.38965e-27
-7.44143e-23 5.43305e-27
-7.44149e-23 5.37237e-27
-7.44151e-23 5.2847e-27
-7.44137e-23 5.3781e-27
-7.4414e-23 5.30417e-27
-7.44144e-23 5.23308e-27
-7.44161e-23 5.40201e-27
-7.44157e-23 5.33027e-27
-7.44159e-23 5.25251e-27
-7.44165e-23 5.205e-27
-7.44159e-23 5.15897e-27
-7.44164e-23 5.11089e-27
-7.44161e-23 5.05074e-27
-7.4416e-23 4.97912e-27
-7.44166e-23 4.9382e-27
-7.44163e-23 4.87815e-27
-7.44162e-23 4.81203e-27
-7.44165e-23 4.75496e-27
-7.44168e-23 4.70149e-27
-7.44161e-23 4.69769e-27
-7.44154e-23 4.68611e-27
-7.44141e-23 4.81183e-27
-7.44124e-23 5.05166e-27
-7.44115e-23 5.05542e-27
-7.44108e-23 5.04819e-27
-7.44101e-23 5.03025e-27
-7.44102e-23 4.97001e-27
-7.44094e-23 4.96789e-27
-7.44091e-23 4.92071e-27
-7.44082e-23 4.93557e-27
-7.44073e-23 4.9698e-27
-7.44069e-23 4.92765e-27
-7.44073e-23 4.88735e-27
-7.44078e-23 4.85976e-27
-7.44081e-23 4.81739e-27
-7.44075e-23 4.80313e-27
-7.44076e-23 4.75184e-27
-7.44072e-23 4.71538e-27
-7.44078e-23 4.70074e-27
-7.44086e-23 4.71836e-27
-7.4409e-23 4.69539e-27
-7.44096e-23 4.68121e-27
-7.44102e-23 4.66668e-27
