Averages Errors
4.08457e-20 0
3.9034e-20 8.73785e-23
3.91692e-20 5.08675e-23
3.88109e-20 3.99031e-23
3.92067e-20 3.63279e-23
3.92241e-20 2.96734e-23
3.92434e-20 2.50959e-23
3.93978e-20 2.29739e-23
3.93666e-20 2.03166e-23
3.93911e-20 1.821e-23
3.94941e-20 1.72049e-23
3.94099e-20 1.6223e-23
3.91075e-20 2.08658e-23
3.90639e-20 1.94322e-23
3.91246e-20 1.83259e-23
3.91281e-20 1.71432e-23
3.909e-20 1.62076e-23
3.90076e-20 1.57893e-23
3.89716e-20 1.5036e-23
3.89776e-20 1.42674e-23
3.88997e-20 1.4081e-23
3.88516e-20 1.36248e-23
3.8715e-20 1.45913e-23
3.85769e-20 1.54766e-23
3.86246e-20 1.50216e-23
3.86558e-20 1.45107e-23
3.86673e-20 1.39739e-23
3.86296e-20 1.35876e-23
3.86771e-20 1.331e-23
3.8722e-20 1.30396e-23
3.864e-20 1.32173e-23
3.86516e-20 1.28099e-23
3.86522e-20 1.24156e-23
3.86472e-20 1.20474e-23
3.86592e-20 1.17125e-23
3.86283e-20 1.14798e-23
3.86892e-20 1.15458e-23
3.87121e-20 1.12919e-23
3.87261e-20 1.10194e-23
3.88118e-20 1.15075e-23
3.8855e-20 1.1415e-23
3.89195e-20 1.15664e-23
3.89132e-20 1.12983e-23
3.88899e-20 1.10955e-23
3.89492e-20 1.12168e-23
3.9e-20 1.12398e-23
3.89935e-20 1.10024e-23
3.89448e-20 1.10236e-23
3.89382e-20 1.0801e-23
3.89228e-20 1.06089e-23
3.88955e-20 1.0482e-23
3.8871e-20 1.03459e-23
3.88635e-20 1.01553e-23
3.88593e-20 9.9675e-24
3.88944e-20 9.92935e-24
3.88971e-20 9.7513e-24
3.88826e-20 9.60409e-24
3.88615e-20 9.49181e-24
3.88654e-20 9.33147e-24
3.88861e-20 9.22837e-24
3.89312e-20 9.33371e-24
3.88777e-20 9.53781e-24
3.88597e-20 9.42541e-24
3.88761e-20 9.31084e-24
3.88932e-20 9.2033e-24
3.885e-20 9.2993e-24
3.88553e-20 9.16307e-24
3.88642e-20 9.03738e-24
3.88782e-20 8.93128e-24
3.88719e-20 8.80802e-24
3.88471e-20 8.76531e-24
3.88446e-20 8.64357e-24
3.88515e-20 8.5309e-24
3.88601e-20 8.42505e-24
3.88665e-20 8.31768e-24
3.88605e-20 8.21262e-24
3.88615e-20 8.10541e-24
3.88729e-20 8.01978e-24
3.8864e-20 7.92937e-24
3.88521e-20 7.85036e-24
3.88391e-20 7.77832e-24
3.88335e-20 7.68761e-24
3.88142e-20 7.65141e-24
3.87931e-20 7.62761e-24
3.87935e-20 7.53736e-24
3.87994e-20 7.45476e-24
3.88328e-20 7.54195e-24
3.88448e-20 7.47822e-24
3.88289e-20 7.43344e-24
3.88188e-20 7.3664e-24
3.88044e-20 7.31809e-24
3.88044e-20 7.23811e-24
3.88178e-20 7.18903e-24
3.88334e-20 7.15187e-24
3.88262e-20 7.08473e-24
3.8846e-20 7.07554e-24
3.8843e-20 7.00368e-24
3.88516e-20 6.94415e-24
3.88381e-20 6.90461e-24
3.88349e-20 6.83692e-24
