Averages Errors
177.164 0
168.563 8.60142
169.163 5.00216
167.514 3.9023
169.392 3.55861
169.46 2.90637
169.553 2.45811
170.311 2.25961
170.203 1.99572
170.351 1.79122
170.861 1.69841
170.463 1.60055
169.024 2.05865
168.815 1.91742
169.096 1.80699
169.102 1.69029
168.933 1.59671
168.566 1.54951
168.413 1.4736
168.452 1.39851
168.094 1.37747
167.874 1.33178
167.231 1.42561
166.586 1.5098
166.82 1.46705
166.975 1.41799
167.031 1.36558
166.848 1.32852
167.069 1.30081
167.277 1.27388
166.883 1.29375
166.925 1.25339
166.917 1.21485
166.883 1.17905
166.927 1.1457
166.768 1.12477
167.044 1.12842
167.152 1.1036
167.226 1.07749
167.636 1.12718
167.841 1.11831
168.143 1.13243
168.109 1.10629
167.995 1.0869
168.274 1.09854
168.514 1.10083
168.481 1.07764
168.25 1.0801
168.217 1.05833
168.146 1.03941
168.016 1.02701
167.9 1.01377
167.862 0.995158
167.84 0.976808
168.002 0.972425
168.014 0.954975
167.947 0.940463
167.852 0.928984
167.875 0.913412
167.977 0.903844
168.192 0.914406
167.939 0.934299
167.855 0.923227
167.934 0.912124
168.013 0.901405
167.805 0.911511
167.829 0.898117
167.87 0.885742
167.935 0.875249
167.904 0.863222
167.783 0.859448
167.769 0.847547
167.8 0.836436
167.839 0.825959
167.866 0.81532
167.833 0.805191
167.833 0.794665
167.881 0.785874
167.832 0.777406
167.769 0.770202
167.702 0.763552
167.671 0.754815
167.576 0.751807
167.474 0.749767
167.472 0.740895
167.495 0.732592
167.645 0.739556
167.696 0.73288
167.618 0.728847
167.566 0.722533
167.495 0.71812
167.493 0.710273
167.556 0.705435
167.63 0.701769
167.595 0.69521
167.689 0.694314
167.679 0.687191
167.723 0.681528
167.659 0.677644
167.639 0.671118
