Averages Errors
2.30475e-23 0
2.35337e-23 4.86226e-25
2.38658e-23 4.34828e-25
2.40124e-23 3.40615e-25
2.38705e-23 2.99542e-25
2.37578e-23 2.6929e-25
2.40711e-23 3.87187e-25
2.39256e-23 3.65513e-25
2.36808e-23 4.04742e-25
2.37253e-23 3.64733e-25
2.39523e-23 4.00477e-25
2.39273e-23 3.66441e-25
2.38224e-23 3.53023e-25
2.39467e-23 3.4968e-25
2.38725e-23 3.33875e-25
2.38589e-23 3.12606e-25
2.39289e-23 3.01856e-25
2.39075e-23 2.85397e-25
2.38896e-23 2.70547e-25
2.39471e-23 2.63017e-25
2.39309e-23 2.50702e-25
2.39234e-23 2.39152e-25
2.39275e-23 2.28555e-25
2.39135e-23 2.19277e-25
2.38976e-23 2.10919e-25
2.39143e-23 2.03329e-25
2.3964e-23 2.0188e-25
2.39021e-23 2.04167e-25
2.38856e-23 1.97686e-25
2.39272e-23 1.95458e-25
2.39611e-23 1.92067e-25
2.39309e-23 1.88411e-25
2.38648e-23 1.94213e-25
2.38897e-23 1.90058e-25
2.38704e-23 1.85553e-25
2.38647e-23 1.80418e-25
2.3889e-23 1.77155e-25
2.39229e-23 1.75718e-25
2.39546e-23 1.74069e-25
2.38925e-23 1.80651e-25
2.3846e-23 1.82218e-25
2.38687e-23 1.79267e-25
2.39004e-23 1.77896e-25
2.38812e-23 1.74862e-25
2.38805e-23 1.70934e-25
2.38844e-23 1.67223e-25
2.38637e-23 1.64933e-25
2.38414e-23 1.62993e-25
2.38335e-23 1.5983e-25
2.38584e-23 1.58567e-25
2.38532e-23 1.55514e-25
2.38985e-23 1.59097e-25
2.38583e-23 1.6117e-25
2.38318e-23 1.60354e-25
2.38404e-23 1.57642e-25
2.38447e-23 1.54864e-25
2.38684e-23 1.53953e-25
2.38799e-23 1.51714e-25
2.38823e-23 1.4914e-25
2.38498e-23 1.50193e-25
2.38514e-23 1.47719e-25
2.38596e-23 1.45547e-25
2.3889e-23 1.46207e-25
2.3867e-23 1.45578e-25
2.38535e-23 1.43951e-25
2.38542e-23 1.41755e-25
2.38793e-23 1.41859e-25
2.38511e-23 1.42572e-25
2.38503e-23 1.40492e-25
2.38734e-23 1.40383e-25
2.3858e-23 1.39245e-25
2.38851e-23 1.39944e-25
2.38609e-23 1.40117e-25
2.38642e-23 1.3825e-25
2.38652e-23 1.36397e-25
2.38617e-23 1.34637e-25
2.38724e-23 1.33306e-25
2.38803e-23 1.31828e-25
2.38964e-23 1.31133e-25
2.38944e-23 1.29498e-25
2.38731e-23 1.29644e-25
2.38541e-23 1.29463e-25
2.38741e-23 1.29452e-25
2.38592e-23 1.28771e-25
2.38706e-23 1.27758e-25
2.38811e-23 1.26701e-25
2.38696e-23 1.25763e-25
2.38696e-23 1.24325e-25
2.38727e-23 1.2296e-25
2.38891e-23 1.22684e-25
2.38875e-23 1.2134e-25
2.38843e-23 1.20055e-25
2.38796e-23 1.18849e-25
2.38712e-23 1.17877e-25
2.38733e-23 1.16648e-25
2.38702e-23 1.15468e-25
2.38773e-23 1.14493e-25
2.38823e-23 1.13428e-25
2.38784e-23 1.12344e-25
2.38763e-23 1.11235e-25
