Averages Errors
-1.39891e-22 0
-1.40412e-22 5.21172e-25
-1.40755e-22 4.56369e-25
-1.40911e-22 3.58634e-25
-1.4077e-22 3.11621e-25
-1.40664e-22 2.75802e-25
-1.40971e-22 3.85297e-25
-1.40823e-22 3.64778e-25
-1.40572e-22 4.08145e-25
-1.40627e-22 3.69205e-25
-1.4085e-22 4.01389e-25
-1.4082e-22 3.67658e-25
-1.4071e-22 3.55395e-25
-1.40831e-22 3.50441e-25
-1.40755e-22 3.35027e-25
-1.40744e-22 3.13574e-25
-1.40819e-22 3.03838e-25
-1.40801e-22 2.87015e-25
-1.40782e-22 2.72104e-25
-1.4084e-22 2.64556e-25
-1.40825e-22 2.52135e-25
-1.40819e-22 2.40463e-25
-1.40825e-22 2.29842e-25
-1.40811e-22 2.20521e-25
-1.40796e-22 2.12003e-25
-1.40815e-22 2.04503e-25
-1.40864e-22 2.02852e-25
-1.408e-22 2.05683e-25
-1.40786e-22 1.9893e-25
-1.40829e-22 1.96936e-25
-1.40865e-22 1.93761e-25
-1.40834e-22 1.90166e-25
-1.40767e-22 1.96139e-25
-1.40793e-22 1.92117e-25
-1.40773e-22 1.87601e-25
-1.40767e-22 1.82438e-25
-1.40793e-22 1.79334e-25
-1.40825e-22 1.77627e-25
-1.40856e-22 1.75662e-25
-1.40792e-22 1.82711e-25
-1.40743e-22 1.8483e-25
-1.40765e-22 1.8173e-25
-1.40794e-22 1.7979e-25
-1.40774e-22 1.76809e-25
-1.40774e-22 1.72835e-25
-1.40776e-22 1.6905e-25
-1.40756e-22 1.66654e-25
-1.40733e-22 1.64732e-25
-1.40725e-22 1.61523e-25
-1.40751e-22 1.60304e-25
-1.40745e-22 1.57215e-25
-1.40792e-22 1.61002e-25
-1.40751e-22 1.63108e-25
-1.40725e-22 1.62242e-25
-1.40734e-22 1.59529e-25
-1.40739e-22 1.56728e-25
-1.40763e-22 1.5596e-25
-1.40775e-22 1.53687e-25
-1.40777e-22 1.51069e-25
-1.40744e-22 1.52111e-25
-1.40745e-22 1.49603e-25
-1.40753e-22 1.47398e-25
-1.40783e-22 1.48006e-25
-1.4076e-22 1.4745e-25
-1.40746e-22 1.45853e-25
-1.40748e-22 1.43637e-25
-1.40773e-22 1.43685e-25
-1.40745e-22 1.4433e-25
-1.40744e-22 1.42224e-25
-1.40767e-22 1.42083e-25
-1.40752e-22 1.40863e-25
-1.4078e-22 1.41597e-25
-1.40755e-22 1.41893e-25
-1.40758e-22 1.40009e-25
-1.40759e-22 1.38133e-25
-1.40756e-22 1.36349e-25
-1.40767e-22 1.35006e-25
-1.40775e-22 1.33547e-25
-1.40791e-22 1.32784e-25
-1.40789e-22 1.31126e-25
-1.40768e-22 1.31324e-25
-1.40748e-22 1.31198e-25
-1.40768e-22 1.31201e-25
-1.40754e-22 1.30437e-25
-1.40766e-22 1.2948e-25
-1.40777e-22 1.28421e-25
-1.40765e-22 1.27495e-25
-1.40765e-22 1.26038e-25
-1.40769e-22 1.24668e-25
-1.40786e-22 1.24477e-25
-1.40785e-22 1.23105e-25
-1.40783e-22 1.21778e-25
-1.40778e-22 1.2054e-25
-1.40771e-22 1.19492e-25
-1.40773e-22 1.18246e-25
-1.40769e-22 1.17061e-25
-1.40777e-22 1.16094e-25
-1.40782e-22 1.15018e-25
-1.40778e-22 1.13921e-25
-1.40776e-22 1.12804e-25
