Averages Errors
-1.16843e-22 0
-1.16878e-22 3.49461e-26
-1.16889e-22 2.30048e-26
-1.16899e-22 1.90442e-26
-1.169e-22 1.47649e-26
-1.16906e-22 1.35842e-26
-1.16899e-22 1.31654e-26
-1.16898e-22 1.15596e-26
-1.16891e-22 1.20475e-26
-1.16902e-22 1.52068e-26
-1.16898e-22 1.44251e-26
-1.16892e-22 1.41365e-26
-1.16888e-22 1.37013e-26
-1.16884e-22 1.32148e-26
-1.16882e-22 1.24724e-26
-1.16885e-22 1.19985e-26
-1.1689e-22 1.21768e-26
-1.16893e-22 1.20311e-26
-1.16893e-22 1.13893e-26
-1.16893e-22 1.0814e-26
-1.16894e-22 1.0295e-26
-1.16896e-22 1.0035e-26
-1.16897e-22 9.72856e-27
-1.16897e-22 9.31716e-27
-1.16899e-22 9.05871e-27
-1.169e-22 8.84537e-27
-1.169e-22 8.52654e-27
-1.16898e-22 8.46444e-27
-1.16901e-22 8.64275e-27
-1.16902e-22 8.4686e-27
-1.16904e-22 8.34538e-27
-1.16903e-22 8.12443e-27
-1.16902e-22 7.93223e-27
-1.16903e-22 7.84762e-27
-1.16903e-22 7.64151e-27
-1.16902e-22 7.48342e-27
-1.16903e-22 7.46321e-27
-1.16903e-22 7.32193e-27
-1.16901e-22 7.25409e-27
-1.16899e-22 7.28163e-27
-1.16897e-22 7.55544e-27
-1.16896e-22 7.39266e-27
-1.16894e-22 7.7436e-27
-1.16893e-22 7.62603e-27
-1.16893e-22 7.49034e-27
-1.16892e-22 7.54416e-27
-1.16892e-22 7.3943e-27
-1.16891e-22 7.25624e-27
-1.16892e-22 7.10786e-27
-1.16892e-22 6.99194e-27
-1.16892e-22 6.85355e-27
-1.16893e-22 6.80539e-27
-1.16893e-22 6.69559e-27
-1.16893e-22 6.57083e-27
-1.16893e-22 6.48333e-27
-1.16894e-22 6.37913e-27
-1.16895e-22 6.39313e-27
-1.16895e-22 6.28247e-27
-1.16894e-22 6.21477e-27
-1.16894e-22 6.11783e-27
-1.16894e-22 6.02196e-27
-1.16894e-22 5.9241e-27
-1.16894e-22 5.82977e-27
-1.16893e-22 5.7923e-27
-1.16892e-22 5.74698e-27
-1.16894e-22 5.76133e-27
-1.16894e-22 5.6747e-27
-1.16894e-22 5.59071e-27
-1.16894e-22 5.51395e-27
-1.16894e-22 5.43562e-27
-1.16894e-22 5.37688e-27
-1.16895e-22 5.32081e-27
-1.16894e-22 5.33817e-27
-1.16894e-22 5.27511e-27
-1.16894e-22 5.20448e-27
-1.16894e-22 5.13554e-27
-1.16894e-22 5.07223e-27
-1.16895e-22 5.05652e-27
-1.16895e-22 4.99991e-27
-1.16895e-22 4.94091e-27
-1.16894e-22 4.91281e-27
-1.16894e-22 4.89399e-27
-1.16894e-22 4.84829e-27
-1.16895e-22 4.81152e-27
-1.16895e-22 4.8395e-27
-1.16896e-22 4.79174e-27
-1.16895e-22 4.75488e-27
-1.16895e-22 4.70081e-27
-1.16896e-22 4.67873e-27
-1.16897e-22 4.71018e-27
-1.16897e-22 4.72038e-27
-1.16899e-22 4.78309e-27
-1.16899e-22 4.74288e-27
-1.169e-22 4.7588e-27
-1.169e-22 4.70844e-27
-1.16899e-22 4.67912e-27
-1.169e-22 4.65233e-27
-1.169e-22 4.60678e-27
-1.169e-22 4.56145e-27
-1.16899e-22 4.53349e-27
