Averages Errors
4.16182e-20 0
4.23526e-20 3.54226e-23
4.28615e-20 3.19467e-23
4.3088e-20 2.50924e-23
4.28741e-20 2.20049e-23
4.27021e-20 1.97887e-23
4.31824e-20 2.85671e-23
4.29605e-20 2.69539e-23
4.25885e-20 2.9783e-23
4.26567e-20 2.68409e-23
4.30033e-20 2.9479e-23
4.29646e-20 2.69754e-23
4.28036e-20 2.59998e-23
4.29945e-20 2.57719e-23
4.28826e-20 2.45922e-23
4.28627e-20 2.30237e-23
4.29683e-20 2.22181e-23
4.2935e-20 2.10091e-23
4.29083e-20 1.99142e-23
4.29959e-20 1.93594e-23
4.29704e-20 1.84554e-23
4.29585e-20 1.76059e-23
4.29646e-20 1.68256e-23
4.29429e-20 1.61432e-23
4.29184e-20 1.5529e-23
4.29435e-20 1.49688e-23
4.3019e-20 1.48573e-23
4.29251e-20 1.50169e-23
4.29001e-20 1.454e-23
4.29636e-20 1.43777e-23
4.3016e-20 1.41333e-23
4.29706e-20 1.38584e-23
4.28701e-20 1.42791e-23
4.2908e-20 1.39724e-23
4.28779e-20 1.36443e-23
4.28685e-20 1.32676e-23
4.29053e-20 1.30255e-23
4.29572e-20 1.29224e-23
4.30056e-20 1.28015e-23
4.29105e-20 1.32946e-23
4.28392e-20 1.34145e-23
4.28731e-20 1.31932e-23
4.29212e-20 1.30901e-23
4.28921e-20 1.28661e-23
4.28909e-20 1.25771e-23
4.28968e-20 1.2304e-23
4.28648e-20 1.21381e-23
4.28301e-20 1.19995e-23
4.28178e-20 1.17671e-23
4.28554e-20 1.16711e-23
4.28472e-20 1.14467e-23
4.29163e-20 1.17082e-23
4.28548e-20 1.18625e-23
4.28138e-20 1.18073e-23
4.28267e-20 1.16073e-23
4.28335e-20 1.14029e-23
4.28694e-20 1.13338e-23
4.28866e-20 1.11675e-23
4.28903e-20 1.0978e-23
4.28406e-20 1.10567e-23
4.28426e-20 1.08744e-23
4.28549e-20 1.07141e-23
4.28995e-20 1.07593e-23
4.2866e-20 1.07125e-23
4.28455e-20 1.05922e-23
4.28463e-20 1.04306e-23
4.28848e-20 1.04401e-23
4.28418e-20 1.04924e-23
4.28403e-20 1.03395e-23
4.28755e-20 1.03311e-23
4.28521e-20 1.02469e-23
4.28931e-20 1.0296e-23
4.28561e-20 1.03101e-23
4.28611e-20 1.01727e-23
4.28625e-20 1.00363e-23
4.28571e-20 9.90689e-24
4.28733e-20 9.80873e-24
4.28853e-20 9.6994e-24
4.29097e-20 9.64779e-24
4.29067e-20 9.52753e-24
4.28743e-20 9.53793e-24
4.28455e-20 9.52288e-24
4.2876e-20 9.52217e-24
4.28533e-20 9.47199e-24
4.28707e-20 9.39778e-24
4.28868e-20 9.32001e-24
4.28692e-20 9.25111e-24
4.28691e-20 9.14538e-24
4.28739e-20 9.04496e-24
4.28989e-20 9.02469e-24
4.28964e-20 8.92576e-24
4.28917e-20 8.83117e-24
4.28844e-20 8.74269e-24
4.28715e-20 8.67158e-24
4.28747e-20 8.58118e-24
4.287e-20 8.49439e-24
4.28808e-20 8.42266e-24
4.28884e-20 8.34435e-24
4.28825e-20 8.26455e-24
4.28792e-20 8.18301e-24
