Averages Errors
120.191 0
122.727 2.53564
124.459 2.2676
125.223 1.77629
124.483 1.56209
123.896 1.40433
125.529 2.01916
124.771 1.90613
123.494 2.11071
123.726 1.90206
124.91 2.08846
124.779 1.91097
124.232 1.841
124.88 1.82356
124.494 1.74114
124.423 1.63022
124.788 1.57416
124.676 1.48833
124.583 1.41088
124.883 1.37162
124.798 1.30739
124.759 1.24716
124.781 1.1919
124.707 1.14351
124.625 1.09993
124.712 1.06035
124.971 1.05279
124.648 1.06472
124.562 1.03092
124.779 1.0193
124.956 1.00162
124.798 0.98255
124.453 1.01281
124.584 0.991143
124.483 0.96765
124.453 0.940869
124.58 0.923854
124.756 0.916359
124.922 0.907758
124.598 0.942085
124.356 0.950258
124.474 0.934868
124.639 0.927715
124.539 0.911896
124.535 0.891409
124.556 0.872057
124.448 0.860117
124.332 0.85
124.29 0.833502
124.42 0.826918
124.393 0.810998
124.629 0.829681
124.419 0.84049
124.282 0.836236
124.326 0.822096
124.349 0.807606
124.472 0.802855
124.532 0.791181
124.545 0.777754
124.375 0.78325
124.384 0.770347
124.426 0.759019
124.58 0.76246
124.465 0.759183
124.395 0.750697
124.398 0.739244
124.529 0.739787
124.382 0.743503
124.378 0.73266
124.498 0.732087
124.418 0.726152
124.559 0.729802
124.433 0.7307
124.45 0.720964
124.456 0.711305
124.437 0.702122
124.493 0.695183
124.535 0.687476
124.618 0.683849
124.608 0.675326
124.497 0.676088
124.398 0.675141
124.502 0.675084
124.424 0.671532
124.484 0.66625
124.539 0.660736
124.479 0.655844
124.478 0.648349
124.495 0.641231
124.58 0.639792
124.572 0.632779
124.555 0.626081
124.531 0.619793
124.487 0.614722
124.498 0.608311
124.481 0.60216
124.519 0.597073
124.545 0.591523
124.524 0.585866
124.513 0.580085
