Averages Errors
1.22723 0
1.26685 0.0396216
1.25015 0.0283234
1.22832 0.0296268
1.2307 0.0230723
1.24013 0.0210649
1.25119 0.020961
1.24763 0.0184999
1.24935 0.016406
1.24783 0.0147526
1.24056 0.0151963
1.24718 0.0153717
1.25465 0.0159945
1.25295 0.0149058
1.24663 0.015249
1.25145 0.0150577
1.25105 0.01415
1.25344 0.013553
1.25106 0.0130389
1.25113 0.01237
1.25082 0.0117703
1.24893 0.0113799
1.25034 0.0109647
1.25076 0.0105063
1.25133 0.010093
1.25289 0.0098223
1.25413 0.00953285
1.25281 0.00928145
1.25403 0.00903887
1.25505 0.00879196
1.25199 0.00903732
1.25099 0.00880752
1.2517 0.00856566
1.25255 0.00835386
1.25258 0.00811171
1.25071 0.0081021
1.25292 0.00818527
1.25308 0.00796851
1.25139 0.00794217
1.25085 0.00775976
1.25075 0.00756888
1.25357 0.00790679
1.25324 0.00772763
1.2514 0.00777167
1.25114 0.0076013
1.25109 0.00743439
1.25094 0.00727603
1.25108 0.00712408
1.25107 0.00697718
1.25031 0.00687869
1.25035 0.00674264
1.25136 0.0066872
1.25148 0.00656097
1.25105 0.00645246
1.25123 0.00633663
1.25156 0.00623084
1.25044 0.00622142
1.25041 0.0061133
1.25155 0.00611649
1.25088 0.00605025
1.2505 0.00596238
1.25125 0.00591232
1.25113 0.005819
1.25088 0.00573245
1.25034 0.00566941
1.25114 0.00563939
1.25127 0.00555615
1.25072 0.00550162
1.25135 0.00545779
1.25044 0.00545512
1.2513 0.00544505
1.25052 0.00542487
1.25126 0.00540136
1.2514 0.00532974
1.25079 0.00529396
1.25052 0.00523056
1.24987 0.00520363
1.25056 0.00518328
1.25042 0.00511926
1.24986 0.00508541
1.25007 0.00502664
1.25034 0.00497199
1.25031 0.00491182
1.25087 0.00488545
1.25141 0.00485729
1.25048 0.00488876
1.25012 0.00484611
1.25001 0.00479193
1.25044 0.00475718
1.25073 0.00471343
1.2508 0.00466178
1.25085 0.00461114
1.25079 0.00456165
1.25061 0.00451677
1.25048 0.00447079
1.25044 0.00442417
1.25043 0.00437833
1.25111 0.00438571
1.25123 0.00434282
1.25059 0.00434557
