averages errors
1.56892 0
1.54149 0.0274281
1.55979 0.0242024
1.53916 0.0268047
1.55203 0.0244258
1.55351 0.0199982
1.53788 0.0230204
1.54071 0.0201368
1.53192 0.0198154
1.52563 0.018807
1.52573 0.0170119
1.52538 0.0155336
1.52038 0.0151372
1.51333 0.0156871
1.50938 0.0151299
1.50778 0.0142424
1.50337 0.0140865
1.50204 0.013348
1.50182 0.0126278
1.50253 0.0120009
1.50291 0.0114213
1.50623 0.0113855
1.50281 0.0114037
1.50393 0.0109754
1.50404 0.0105278
1.50448 0.0101243
1.50476 0.00974622
1.5044 0.00939849
1.50668 0.00935173
1.50513 0.00916696
1.50473 0.00887569
1.50638 0.00875252
1.50653 0.00848439
1.50641 0.00823197
1.50649 0.00799376
1.50727 0.00780762
1.50803 0.00763085
1.50608 0.00767851
1.50836 0.0078181
1.50606 0.00795699
1.50638 0.00776689
1.50626 0.0075807
1.50557 0.00743389
1.50561 0.00726306
1.50567 0.00710008
1.50542 0.00694854
1.50515 0.00680437
1.50524 0.00666174
1.50491 0.00653283
1.50412 0.0064501
1.50404 0.00632276
1.50406 0.0062
1.5045 0.00609808
1.50326 0.00611202
1.50302 0.0060047
1.50471 0.00613366
1.50497 0.00603094
1.50531 0.00593551
1.50612 0.00589001
1.50834 0.00620211
1.50752 0.00615411
1.50807 0.00607888
1.50769 0.00599395
1.50752 0.00590203
1.50714 0.00582251
1.50687 0.00574
1.50664 0.00565835
1.50681 0.00557706
1.50686 0.00549583
1.5068 0.00541701
1.50653 0.00534737
1.50583 0.00531785
1.50601 0.00524748
1.505 0.00527398
1.50468 0.0052132
1.50409 0.00517789
1.50432 0.00511572
1.50425 0.00505022
1.50432 0.0049864
1.50446 0.00492565
1.50372 0.00492026
1.50472 0.00496107
1.50434 0.00491587
1.50417 0.00485972
1.50431 0.0048041
1.50408 0.00475337
1.50424 0.00470103
1.5039 0.0046598
1.50425 0.00462047
1.50407 0.00457248
1.50423 0.00452507
1.50395 0.00448443
1.50505 0.0045695
1.50437 0.00457109
1.50422 0.00452535
1.50388 0.00449095
1.50402 0.00444667
1.50413 0.00440262
1.50451 0.00437395
1.50437 0.00433213
