averages errors
5.27203 0
5.19602 0.0760124
5.14314 0.0687202
5.1194 0.0540826
5.09175 0.0501933
5.04742 0.0603701
5.06057 0.0526901
5.03445 0.052581
5.04516 0.0475928
5.04266 0.0426415
5.05106 0.0394757
5.05008 0.0360496
5.02416 0.0420928
5.03675 0.0409548
5.0266 0.0394553
5.02781 0.0369271
5.00891 0.0395023
4.99345 0.0403272
4.98209 0.0398003
4.97007 0.0396244
4.97029 0.0376909
4.95652 0.0384844
4.96007 0.0369432
4.96126 0.0353907
4.97823 0.0379491
4.98534 0.0371469
4.98432 0.035759
4.97886 0.0348886
4.98405 0.0340621
4.97428 0.0343273
4.96985 0.0334959
4.9586 0.0343259
4.94995 0.0343769
4.95952 0.0346977
4.94951 0.0351498
4.95684 0.0349388
4.96471 0.0348793
4.96399 0.0339565
4.95966 0.0333572
4.9545 0.0329195
4.95101 0.0322959
4.95868 0.0324378
4.95664 0.0317403
4.96828 0.0331244
4.96762 0.0323866
4.96412 0.031868
4.9579 0.0317959
4.95664 0.031152
4.95481 0.0305646
4.96527 0.0317215
4.96246 0.0312195
4.96451 0.0306817
4.96116 0.030283
4.96031 0.0297292
4.96844 0.0302945
4.97253 0.0300283
4.98034 0.0305131
4.97766 0.0301012
4.98251 0.0299812
4.99267 0.0311774
4.99257 0.0306622
4.99402 0.0301982
4.99822 0.03001
5.00065 0.0296375
5.00282 0.0292587
5.009 0.0294672
5.00778 0.0290497
5.00921 0.0286552
5.00807 0.0282602
5.01064 0.0279718
5.01125 0.0275818
5.00856 0.0273293
5.00867 0.0269526
5.00822 0.0265898
5.00977 0.0262787
5.0098 0.0259306
5.007 0.0257443
5.00262 0.0257875
5.00376 0.0254845
5.01031 0.0260028
5.00818 0.0257681
5.01094 0.0256016
5.01242 0.0253346
5.02015 0.0261956
5.01821 0.0259578
5.01672 0.0256974
5.01658 0.0254007
5.01512 0.0251532
5.00961 0.0254724
5.00251 0.0261687
5.00143 0.0259018
5.00256 0.0256436
4.99959 0.0255403
5.00044 0.0252816
4.999 0.0250557
5.00083 0.0248608
4.9976 0.0248143
5.00288 0.025122
5.00285 0.0248669
4.99847 0.025003
