              x              y
        0.70543       0.872143
       0.643112       0.758748
       0.667421       0.761679
       0.836697       0.617816
       0.806001       0.466681
       0.840888       0.320812
        0.60179       0.408124
         0.4785       0.487275
       0.490531       0.441826
       0.393371       0.305099
       0.298616       0.172341
       0.181236      0.0823031
       0.462386     0.00791554
       0.570725      0.0855483
       0.645848       0.223191
       0.609482        0.23892
       0.611215       0.260441
       0.452231       0.275218
        0.26377       0.278258
       0.209379       0.281683
      0.0445765       0.382106
       0.132066       0.390263
       0.312395       0.418159
        0.30914       0.496849
       0.325739       0.679508
      0.0985951       0.774231
       0.122649       0.887835
       0.121514       0.888571
       0.238894       0.947084
       0.330575       0.953747
        0.70543       0.872143
