    Temperature          Paths
              1        18.0624
            0.5         14.239
       0.333333        11.6349
           0.25        11.3243
            0.2        7.17092
       0.166667         7.3881
       0.142857        8.19209
          0.125        7.90188
       0.111111          6.605
            0.1        5.55965
      0.0909091        5.79611
      0.0833333        5.70617
      0.0769231        5.89941
      0.0714286        5.50692
      0.0666667         5.3773
         0.0625        5.39969
      0.0588235         5.1221
      0.0555556        5.33895
      0.0526316        5.15447
           0.05        5.16133
       0.047619        4.97951
      0.0454545        5.09255
      0.0434783         4.9018
      0.0416667        4.79304
           0.04        4.84764
      0.0384615        4.86588
       0.037037        4.85662
      0.0357143        4.82438
      0.0344828          4.778
      0.0333333        4.91288
      0.0322581         4.9734
        0.03125          4.778
       0.030303        4.81426
      0.0294118          4.778
      0.0285714          4.778
      0.0277778        4.88267
       0.027027        4.86986
      0.0263158          4.778
       0.025641        4.76977
          0.025          4.778
      0.0243902        4.77375
      0.0238095        4.76977
      0.0232558        4.91404
      0.0227273        4.77375
      0.0222222        4.84184
      0.0217391        4.76977
      0.0212766        4.77375
      0.0208333        4.79304
      0.0204082        4.80603
           0.02        4.86588
      0.0196078        4.80127
      0.0192308        4.80603
      0.0188679        4.85921
      0.0185185        4.81001
      0.0181818        4.90385
      0.0178571          4.778
      0.0175439          4.778
      0.0172414          4.778
      0.0169492        4.76977
      0.0166667        4.76977
      0.0163934          4.778
       0.016129        4.76977
       0.015873        4.80603
       0.015625        4.78198
      0.0153846        4.77375
      0.0151515        4.76977
      0.0149254        4.78198
      0.0147059          4.778
      0.0144928        4.76977
      0.0142857        4.77375
      0.0140845          4.778
      0.0138889        4.88576
      0.0136986        4.77375
      0.0135135          4.778
      0.0133333        4.82097
      0.0131579        4.77375
       0.012987        4.76977
      0.0128205        4.78198
      0.0126582        4.78198
         0.0125        4.76977
      0.0123457        4.76977
      0.0121951        4.77375
      0.0120482        4.76977
      0.0119048        4.76977
      0.0117647        4.76977
      0.0116279        4.80127
      0.0114943        4.77375
      0.0113636        4.77375
       0.011236        4.77375
      0.0111111        4.76977
       0.010989        4.76977
      0.0108696        4.77375
      0.0107527        4.78198
      0.0106383        4.76977
      0.0105263          4.778
      0.0104167        4.76977
      0.0103093          4.778
      0.0102041        4.76977
       0.010101        4.76977
           0.01        4.76977
     0.00990099        4.76977
     0.00980392        4.79304
     0.00970874        4.76977
     0.00961538        4.78198
     0.00952381        4.77375
     0.00943396        4.78198
     0.00934579        4.78198
     0.00925926         4.8336
     0.00917431        4.76977
     0.00909091        4.76977
     0.00900901        4.77375
     0.00892857        4.76977
     0.00884956        4.76977
     0.00877193        4.76977
     0.00869565          4.778
     0.00862069        4.76977
     0.00854701        4.77375
     0.00847458        4.81001
     0.00840336          4.778
     0.00833333          4.778
     0.00826446        4.80127
     0.00819672        4.78198
     0.00813008        4.77375
     0.00806452        4.76977
          0.008        4.77375
     0.00793651        4.76977
     0.00787402        4.76977
      0.0078125        4.77375
     0.00775194        4.77375
     0.00769231          4.778
     0.00763359        4.76977
     0.00757576        4.77375
      0.0075188        4.76977
     0.00746269        4.79304
     0.00740741        4.76977
     0.00735294        4.77375
     0.00729927          4.778
